;;;;;;;;prestiz;prestiz;prestiz;prestiz;innowacyjnosc;innowacyjnosc;innowacyjnosc;potencjal naukowy;potencjal naukowy;potencjal naukowy;potencjal naukowy;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;warunki studiowania;warunki studiowania;warunki studiowania;warunki studiowania;warunki studiowania;warunki studiowania;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie
Miasto;Typ Uczelni;Reszta Nazwy;ranking 2011;ranking 2010;ranking 2009;ranking 2008;suma punktow;preferencje pracodawcow;ocena kadry akademickiej;uznanie miedzynarodowe;wybor olimpijczykow;patenty i inne;srodki z UE;zaplecze innowacyjne;ocena parametryczna;uprawnienia do nawadania stopni naukowych;nasycenie kadry profesorami;akredytacje;rozwoj kadry wlasnej;nadane stopnie naukowe;pozyskiwanie srodkow zewnetrznych na badania;publikacje;cytowania;h-index;udzial uczelni w PR;studia doktoranckie;dostepnosc kadr dla studentow;zbiory elektroniczne;zbiory drukowane;korzystanie z biblioteki;dostepnosc dla studentow zamiejscowych;osiagniecia sportowe;studia w j obcym;studiujacy w j obcym;wymiana studencka wyjazdy;wymiana studencka przyjazdy;wielokulturowosc;nauczyciele z zagranicy;wyklady w j obcych
Warszawa;Uniwersytet;Warszawski;1;1;2;2;100;85.54;100;100;27.19;1.82;96.85;52.72;94.29;96.49;61.56;100;29.54;39.41;19.7;62.47;41.75;89.36;100;40.2;42.25;15.01;74.07;84.44;12.28;100;76.92;64.45;100;42.12;22.26;38.15;93.11
Krakow;Uniwersytet;Jagiellonski;2;2;1;1;99.71;58.88;92.64;97.79;22.15;12.96;100;69.93;97.33;100;53.16;89.29;68.39;50.5;12.77;80.35;42.57;100;54.39;45.63;49.12;52.92;100;84.43;21.39;93.55;92.31;55.38;57.98;40.92;20.44;28.65;49.21
Warszawa;Politechnika;Warszawska;3;4;4;5;85.52;100;43.76;52.2;11.92;42.71;92.5;86.23;85.26;83.04;42.61;28.57;29.88;38.19;32.52;75.26;26.06;72.34;66.67;23.24;37.32;30.59;34.88;73.42;32.55;96.33;80.77;90.92;35.45;27.88;11.81;5.16;100
Poznan;Uniwersytet;im. Adama Mickiewicza w Poznaniu;4;3;3;4;76.38;34.2;62.07;11.23;9.34;14.17;76.77;44.02;90;83.63;51.43;78.57;56.78;44.63;14.53;51.29;27.64;51.06;24.56;23.85;39.08;100;66.84;91.44;16.2;94.56;57.69;100;57.58;18.95;6.49;57.66;17.72
Wroclaw;Politechnika;Wroclawska;5;5;6;7;75.91;77.98;37.29;12.07;5.14;100;60.04;71.56;83.33;94.15;39.63;57.14;43.05;28.58;25.61;88.68;19.94;51.06;40.35;23.49;33.98;35.05;22.45;61.15;17.99;90.25;100;46.38;36.98;16.32;10.22;10.32;10.63
Krakow;Akademia Gorniczo-Hutnicza ;w Krakowie;6;7;5;8;75.35;82.53;32.78;6.04;25.62;97.17;90.37;100;89.33;73.68;43.57;32.14;43.36;38.19;27.49;70.18;16.89;44.68;42.11;17.97;37.19;25.04;19.94;76.71;45.71;90.39;65.38;26.77;21.1;7.43;2.06;89.91;40.35
Wroclaw;Uniwersytet;Wroclawski;7;6;7;3;63.22;30.74;36.78;11.04;15.81;3.24;16.07;32.97;85.45;77.78;51.52;60.71;42.43;51.74;12.86;67.06;32.47;57.45;10.53;35.1;38.51;37.05;48.14;54.94;18.06;79.2;80.77;7.09;55.92;21.7;4;27.34;24.8
Lodz;Politechnika;Lodzka;8;9;11;13;58.63;31.14;10.86;2.78;1.37;53.85;49.61;44.75;88;49.12;39.34;10.71;37.95;29.09;25.6;75.84;20.41;44.68;22.81;23.33;41.63;42.46;19.35;64.97;25.3;88.38;65.38;78.49;53.15;19.25;5.43;10.21;68.5
Warszawa;Szkola Glowna;Handlowa w Warszawie;9;8;8;6;55.53;58.83;14.35;35.28;100;0;5.27;12.5;100;20.47;49.04;25;19.23;33.67;5.3;5.31;11.56;10.64;5.26;95.97;42.31;33.66;32.62;82.51;13.69;48.41;19.23;22.5;95.45;49.16;28.21;60.45;33.07
Poznan;Uniwersytet Medyczny;w Poznaniu;10;10;9;9;54.89;1.2;18.77;0;12.29;1.01;17.73;42.93;90;22.81;44.73;35.71;53.73;54.8;11.94;76.04;39.89;57.45;7.02;17.05;81.78;22.79;27.93;41.68;41.9;17.67;23.08;76.89;18.75;8.51;88.78;2.64;63.39
Gdansk;Politechnika;Gdanska;11;27;25;29;54.81;32.97;10.98;4.45;3.87;43.93;92.99;81.16;88.89;40.35;42.35;3.57;49.38;34.15;21.77;73.45;20.78;48.94;19.3;16.94;25.39;24.97;11.76;70.5;18.59;92.8;38.46;43.78;28.17;9.27;3.83;8.73;7.28
