Switzerland,  Births (1-year)     Last modified: 15-Jun-2011, MPv5 (May07)

Year          Female      Male     Total
1871           37829     39804     77633
1872           39061     41268     80329
1873           39198     41374     80572
1874           40592     42459     83051
1875           42942     44637     87579
1876           44042     46744     90786
1877           43252     45992     89244
1878           42940     44893     87833
1879           41998     44182     86180
1880           40979     43186     84165
1881           41613     43529     85142
1882           40249     42440     82689
1883           39852     42122     81974
1884           39725     41846     81571
1885           39265     41084     80349
1886           39619     41144     80763
1887           39783     41504     81287
1888           39532     41566     81098
1889           39720     41456     81176
1890           38454     40094     78548
1891           40868     42728     83596
1892           40665     42460     83125
1893           41481     43416     84897
1894           41224     42918     84142
1895           41154     43819     84973
1896           43238     45190     88428
1897           44070     46008     90078
1898           45234     46559     91793
1899           46190     48282     94472
1900           46093     48223     94316
1901           47709     49319     97028
1902           47014     49467     96481
1903           45988     47836     93824
1904           46394     48473     94867
1905           46326     48327     94653
1906           46658     48937     95595
1907           46063     48445     94508
1908           47084     49161     96245
1909           46145     47967     94112
1910           45593     47921     93514
1911           44762     46558     91320
1912           44865     47331     92196
1913           43752     46005     89757
1914           42372     44958     87330
1915           36978     38567     75545
1916           35803     37857     73660
1917           35269     36796     72065
1918           35354     37304     72658
1919           35279     36846     72125
1920           39322     41868     81190
1921           39456     41352     80808
1922           37168     39122     76290
1923           36774     38777     75551
1924           36102     37406     73508
1925           35450     37120     72570
1926           35269     36849     72118
1927           33694     35839     69533
1928           34005     35589     69594
1929           33891     35115     69006
1930           33989     35866     69855
1931           33298     34951     68249
1932           33435     35215     68650
1933           33195     34314     67509
1934           32686     34591     67277
1935           32137     34241     66378
1936           31747     33219     64966
1937           30529     31951     62480
1938           31083     32707     63790
1939           31086     32751     63837
1940           31483     32632     64115
1941           35216     36710     71926
1942           38511     40364     78875
1943           40609     42440     83049
1944           41632     43995     85627
1945           42862     45660     88522
1946           43344     45782     89126
1947           42549     45175     87724
1948           42806     44957     87763
1949           41475     43833     85308
1950           41115     43661     84776
1951           39694     42209     81903
1952           40649     42900     83549
1953           40458     42571     83029
1954           41027     42714     83741
1955           41523     43808     85331
1956           42663     45249     87912
1957           44237     46586     90823
1958           44490     46931     91421
1959           45248     47725     92973
1960           46185     48187     94372
1961           48581     50657     99238
1962           50870     53452    104322
1963           53746     56247    109993
1964           55034     57856    112890
1965           54187     57648    111835
1966           53323     56415    109738
1967           52402     55015    107417
1968           51191     53939    105130
1969           49990     52530    102520
1970           47981     51235     99216
1971           46850     49411     96261
1972           44163     47179     91342
1973           42438     45080     87518
1974           41021     43486     84507
1975           38055     40409     78464
1976           36499     37700     74199
1977           35300     37529     72829
1978           34648     36727     71375
1979           35134     36852     71986
1980           35944     37717     73661
1981           35682     38065     73747
1982           36589     38327     74916
1983           35686     37973     73659
1984           36177     38533     74710
1985           36719     37965     74684
1986           37416     38904     76320
1987           37318     39187     76505
1988           39120     41225     80345
1989           39502     41678     81180
1990           41025     42914     83939
1991           41876     44324     86200
1992           42492     44418     86910
1993           40730     43032     83762
1994           40386     42594     82980
1995           40113     42090     82203
1996           40299     42708     83007
1997           39284     41300     80584
1998           38521     40428     78949
1999           38152     40256     78408
2000           38056     40402     78458
2001           35172     37123     72295
2002           35054     37318     72372
2003           34946     36902     71848
2004           35742     37340     73082
2005           35334     37569     72903
2006           35605     37766     73371
2007           36310     38184     74494
2008           37142     39549     76691
2009           37879     40407     78286
