Sweden,  Births (1-year)     Last modified: 16-Aug-2011, MPv5 (May07)

Year          Female      Male     Total
1749           29382     30101     59483
1750           31692     32819     64511
1751           34028     35263     69291
1752           31795     33178     64973
1753           32248     33759     66007
1754           33757     35002     68759
1755           34198     35810     70008
1756           33388     34599     67987
1757           29967     31708     61675
1758           30845     32417     63262
1759           31049     32816     63865
1760           33691     34693     68384
1761           32819     34505     67324
1762           33378     34890     68268
1763           33308     34923     68231
1764           33136     34852     67988
1765           32060     33812     65872
1766           32859     34202     67061
1767           34608     36136     70744
1768           33061     34658     67719
1769           32891     34063     66954
1770           32864     34308     67172
1771           32267     33721     65988
1772           28832     30140     58972
1773           25120     26044     51164
1774           33649     34871     68520
1775           35162     36480     71642
1776           32633     34236     66869
1777           33164     34529     67693
1778           35184     36717     71901
1779           37163     39224     76387
1780           36767     38355     75122
1781           34715     36415     71130
1782           33427     35061     68488
1783           31798     33171     64969
1784           33449     34156     67605
1785           33114     34383     67497
1786           34681     36254     70935
1787           33283     35045     68328
1788           35950     38069     74019
1789           34244     35883     70127
1790           32580     34130     66710
1791           34918     36695     71613
1792           39383     41680     81063
1793           37824     39209     77033
1794           37523     38906     76429
1795           35549     37398     72947
1796           38979     40467     79446
1797           39197     41177     80374
1798           38225     40368     78593
1799           36608     38666     75274
1800           32792     34763     67555
1801           34384     36245     70629
1802           36637     38326     74963
1803           36440     38204     74644
1804           37408     39035     76443
1805           37423     39129     76552
1806           36797     37784     74581
1807           36773     39069     75842
1808           36064     37899     73963
1809           31671     32629     64300
1810           38457     40459     78916
1811           41571     43291     84862
1812           39678     41401     81079
1813           35171     36850     72021
1814           37187     38650     75837
1815           41658     43581     85239
1816           42879     44765     87644
1817           41078     42743     83821
1818           41743     43971     85714
1819           41082     43168     84250
1820           41327     43514     84841
1821           44916     47156     92072
1822           46067     48242     94309
1823           48072     50187     98259
1824           45784     47793     93577
1825           49220     51095    100315
1826           47511     49614     97125
1827           43103     45035     88138
1828           46719     48635     95354
1829           48650     50838     99488
1830           46157     48469     94626
1831           42879     45374     88253
1832           43826     46036     89862
1833           48993     51316    100309
1834           48938     51293    100231
1835           47972     50172     98144
1836           47269     49588     96857
1837           46370     48246     94616
1838           44425     46140     90565
1839           44678     46685     91363
1840           47892     50268     98160
1841           46932     48802     95734
1842           49506     51470    100976
1843           48359     50795     99154
1844           51258     53435    104693
1845           51078     52582    103660
1846           48451     51252     99703
1847           48281     50898     99179
1848           50077     52447    102524
1849           55056     57248    112304
1850           53809     56590    110399
1851           54169     56896    111065
1852           52661     55644    108305
1853           54503     56904    111407
1854           58801     61306    120107
1855           55919     59153    115072
1856           56134     58948    115082
1857           58289     61060    119349
1858           63282     65757    129039
1859           64056     67549    131605
1860           65141     68021    133162
1861           62041     64593    126634
1862           64169     67415    131584
1863           65440     68839    134279
1864           66390     69614    136004
1865           65694     68587    134281
1866           66790     70199    136989
1867           62704     66128    128832
1868           56041     58914    114955
1869           57511     60166    117677
1870           58278     61560    119838
1871           62111     65222    127333
1872           61603     65380    126983
1873           64213     67430    131643
1874           64904     68345    133249
1875           66263     69695    135958
1876           66132     69758    135890
1877           67346     71130    138476
1878           65429     69035    134464
1879           67814     71229    139043
1880           65717     68545    134262
1881           64413     68391    132804
1882           65377     68923    134300
1883           64490     68385    132875
1884           67426     71319    138745
1885           66793     70515    137308
1886           68218     71664    139882
1887           68256     71913    140169
1888           66701     69750    136451
1889           64558     67511    132069
1890           65267     68330    133597
1891           65860     69656    135516
1892           63109     66513    129622
1893           63833     67896    131729
1894           64014     67395    131409
1895           65410     69189    134599
1896           65415     68893    134308
1897           64493     68506    132999
1898           66132     70391    136523
1899           65167     68715    133882
1900           67299     70840    138139
1901           67590     71780    139370
1902           67066     70298    137364
1903           65262     68634    133896
1904           65291     69661    134952
1905           66139     69270    135409
1906           66236     70384    136620
1907           66296     70497    136793
1908           67489     71385    138874
1909           67581     71924    139505
1910           65511     70114    135625
1911           64535     68442    132977
1912           64662     68206    132868
1913           63175     67025    130200
1914           62974     66484    129458
1915           59864     63133    122997
1916           59102     62577    121679
1917           58800     62055    120855
1918           57188     60767    117955
1919           55841     59352    115193
1920           67211     71542    138753
1921           62176     65547    127723
1922           56875     60071    116946
1923           54862     58573    113435
1924           53102     55953    109055
1925           51553     54739    106292
1926           49696     52311    102007
1927           47664     50330     97994
1928           47653     50215     97868
1929           45104     47757     92861
1930           46015     48205     94220
1931           44292     46782     91074
1932           43755     46024     89779
1933           41201     43819     85020
1934           41298     43794     85092
1935           41516     44390     85906
1936           43319     45619     88938
1937           43840     46533     90373
1938           45698     48248     93946
1939           47420     49960     97380
1940           46552     49226     95778
1941           48575     51152     99727
1942           55355     58606    113961
1943           61062     64330    125392
1944           65267     69724    134991
1945           65433     69940    135373
1946           64369     68228    132597
1947           62550     66229    128779
1948           61686     64997    126683
1949           58800     62472    121272
1950           55759     59655    115414
1951           53370     56798    110168
1952           53313     56879    110192
1953           53304     56840    110144
1954           50915     54181    105096
1955           52078     55227    107305
1956           51935     56025    107960
1957           52306     54862    107168
1958           50988     54514    105502
1959           50519     54224    104743
1960           49807     52412    102219
1961           50694     53807    104501
1962           52167     55117    107284
1963           54577     58326    112903
1964           59783     62881    122664
1965           59650     63156    122806
1966           59708     63646    123354
1967           58832     62528    121360
1968           54966     58121    113087
1969           51994     55628    107622
1970           53608     56542    110150
1971           55410     59074    114484
1972           54369     57904    112273
1973           53252     56411    109663
1974           53293     56581    109874
1975           50390     53242    103632
1976           47790     50555     98345
1977           46528     49529     96057
1978           45404     47844     93248
1979           46842     49413     96255
1980           47204     49860     97064
1981           45934     48131     94065
1982           45016     47732     92748
1983           44467     47313     91780
1984           45549     48340     93889
1985           47715     50748     98463
1986           49552     52398    101950
1987           51134     53565    104699
1988           54259     57821    112080
1989           56340     59683    116023
1990           60366     63572    123938
1991           60008     63729    123737
1992           59655     63193    122848
1993           57669     60329    117998
1994           54928     57329    112257
1995           50208     53214    103422
1996           46637     48660     95297
1997           43991     46511     90502
1998           43088     45940     89028
1999           42943     45230     88173
2000           43821     46620     90441
2001           44328     47138     91466
2002           46628     49187     95815
2003           48043     51114     99157
2004           48953     51975    100928
2005           49310     52036    101346
2006           51430     54483    105913
2007           52162     55259    107421
2008           52949     56352    109301
2009           54237     57564    111801
2010           56256     59385    115641
