Switzerland, Deaths (Lexis triangle)     Last modified: 30-Aug-2011, MPv5 (May07)

Year   Age   Cohort    Female        Male       Total 
1876     0    1876      6070.00     7895.00    13965.00
1876     0    1875      1912.00     2164.00     4076.00
1876     1    1875       781.00      675.00     1456.00
1876     1    1874       518.00      530.00     1048.00
1876     2    1874       290.00      318.00      608.00
1876     2    1873       288.00      322.00      610.00
1876     3    1873       212.00      201.00      413.00
1876     3    1872       187.00      211.00      398.00
1876     4    1872       149.00      159.00      308.00
1876     4    1871       141.00      146.00      287.00
1876     5    1871       127.00      115.00      242.00
1876     5    1870       108.00      111.00      219.00
1876     6    1870        96.00      104.00      200.00
1876     6    1869        86.00       95.00      181.00
1876     7    1869        72.00       88.00      160.00
1876     7    1868        67.00       69.00      136.00
1876     8    1868        67.00       53.00      120.00
1876     8    1867        49.00       61.00      110.00
1876     9    1867        60.00       67.00      127.00
1876     9    1866        55.00       76.00      131.00
1876    10    1866        52.00       51.00      103.00
1876    10    1865        74.00       60.00      134.00
1876    11    1865        49.00       56.00      105.00
1876    11    1864        51.00       46.00       97.00
1876    12    1864        54.00       37.00       91.00
1876    12    1863        48.00       51.00       99.00
1876    13    1863        48.00       34.00       82.00
1876    13    1862        57.00       51.00      108.00
1876    14    1862        53.00       53.00      106.00
1876    14    1861        74.00       38.00      112.00
1876    15    1861        65.00       41.00      106.00
1876    15    1860        72.00       66.00      138.00
1876    16    1860        63.00       48.00      111.00
1876    16    1859        71.00       74.00      145.00
1876    17    1859       102.00       45.00      147.00
1876    17    1858        94.00       67.00      161.00
1876    18    1858        75.00       96.00      171.00
1876    18    1857        61.00       88.00      149.00
1876    19    1857        71.00      103.00      174.00
1876    19    1856        80.00      103.00      183.00
1876    20    1856        72.00       82.00      154.00
1876    20    1855        78.00       82.00      160.00
1876    21    1855        73.00       79.00      152.00
1876    21    1854        76.00       87.00      163.00
1876    22    1854        84.00       75.00      159.00
1876    22    1853        83.00       85.00      168.00
1876    23    1853        83.00       90.00      173.00
1876    23    1852        98.00       88.00      186.00
1876    24    1852        88.00       95.00      183.00
1876    24    1851        96.00      104.00      200.00
1876    25    1851        81.00       94.00      175.00
1876    25    1850       102.00      113.00      215.00
1876    26    1850        91.00       86.00      177.00
1876    26    1849       105.00       96.00      201.00
1876    27    1849        91.00      105.00      196.00
1876    27    1848       107.00      104.00      211.00
1876    28    1848        96.00       82.00      178.00
1876    28    1847        86.00       97.00      183.00
1876    29    1847        87.00       79.00      166.00
1876    29    1846        97.00      100.00      197.00
1876    30    1846       102.00       99.00      201.00
1876    30    1845        88.00      108.00      196.00
1876    31    1845        96.00      112.00      208.00
1876    31    1844       107.00      117.00      224.00
1876    32    1844        99.00       98.00      197.00
1876    32    1843       126.00      105.00      231.00
1876    33    1843        83.00      100.00      183.00
1876    33    1842        99.00      117.00      216.00
1876    34    1842       109.00       93.00      202.00
1876    34    1841       135.00      106.00      241.00
1876    35    1841       109.00      101.00      210.00
1876    35    1840       138.00      118.00      256.00
1876    36    1840       108.00      114.00      222.00
1876    36    1839       111.00      132.00      243.00
1876    37    1839       104.00      116.00      220.00
1876    37    1838       127.00      109.00      236.00
1876    38    1838       111.00      126.00      237.00
1876    38    1837       122.00      136.00      258.00
1876    39    1837       101.00      107.00      208.00
1876    39    1836       128.00      131.00      259.00
1876    40    1836       102.00      120.00      222.00
1876    40    1835        98.00      107.00      205.00
1876    41    1835        94.00      123.00      217.00
1876    41    1834       101.00      136.00      237.00
1876    42    1834       108.00      115.00      223.00
1876    42    1833        96.00      133.00      229.00
1876    43    1833        91.00      122.00      213.00
1876    43    1832       114.00      114.00      228.00
1876    44    1832       101.00      125.00      226.00
1876    44    1831       105.00      164.00      269.00
1876    45    1831       116.00      116.00      232.00
1876    45    1830       106.00      139.00      245.00
1876    46    1830       111.00      133.00      244.00
1876    46    1829        97.00      152.00      249.00
1876    47    1829        93.00      143.00      236.00
1876    47    1828       119.00      165.00      284.00
1876    48    1828        91.00      137.00      228.00
1876    48    1827       122.00      157.00      279.00
1876    49    1827       107.00      157.00      264.00
1876    49    1826       114.00      170.00      284.00
1876    50    1826       134.00      155.00      289.00
1876    50    1825       124.00      181.00      305.00
1876    51    1825       120.00      140.00      260.00
1876    51    1824       121.00      192.00      313.00
1876    52    1824       139.00      170.00      309.00
1876    52    1823       133.00      178.00      311.00
1876    53    1823       129.00      155.00      284.00
1876    53    1822       156.00      188.00      344.00
1876    54    1822       146.00      144.00      290.00
1876    54    1821       163.00      195.00      358.00
1876    55    1821       141.00      168.00      309.00
1876    55    1820       187.00      209.00      396.00
1876    56    1820       164.00      195.00      359.00
1876    56    1819       169.00      215.00      384.00
1876    57    1819       153.00      228.00      381.00
1876    57    1818       153.00      193.00      346.00
1876    58    1818       119.00      128.00      247.00
1876    58    1817       134.00      163.00      297.00
1876    59    1817       158.00      170.00      328.00
1876    59    1816       210.00      224.00      434.00
1876    60    1816       177.00      194.00      371.00
1876    60    1815       239.00      189.00      428.00
1876    61    1815       182.00      211.00      393.00
1876    61    1814       204.00      238.00      442.00
1876    62    1814       205.00      214.00      419.00
1876    62    1813       204.00      222.00      426.00
1876    63    1813       184.00      164.00      348.00
1876    63    1812       239.00      256.00      495.00
1876    64    1812       211.00      231.00      442.00
1876    64    1811       250.00      239.00      489.00
1876    65    1811       188.00      204.00      392.00
1876    65    1810       225.00      239.00      464.00
1876    66    1810       231.00      214.00      445.00
1876    66    1809       257.00      234.00      491.00
1876    67    1809       219.00      218.00      437.00
1876    67    1808       277.00      242.00      519.00
1876    68    1808       265.00      228.00      493.00
1876    68    1807       280.00      242.00      522.00
1876    69    1807       222.00      227.00      449.00
1876    69    1806       269.00      232.00      501.00
1876    70    1806       240.00      230.00      470.00
1876    70    1805       262.00      257.00      519.00
1876    71    1805       231.00      214.00      445.00
1876    71    1804       259.00      242.00      501.00
1876    72    1804       238.00      239.00      477.00
1876    72    1803       258.00      284.00      542.00
1876    73    1803       211.00      235.00      446.00
1876    73    1802       266.00      247.00      513.00
1876    74    1802       206.00      227.00      433.00
1876    74    1801       239.00      258.00      497.00
1876    75    1801       191.00      199.00      390.00
1876    75    1800       224.00      213.00      437.00
1876    76    1800       182.00      173.00      355.00
1876    76    1799       206.00      203.00      409.00
1876    77    1799       169.00      173.00      342.00
1876    77    1798       184.00      188.00      372.00
1876    78    1798       150.00      142.00      292.00
1876    78    1797       165.00      170.00      335.00
1876    79    1797       126.00      152.00      278.00
1876    79    1796       136.00      145.00      281.00
1876    80    1796       109.00      152.00      261.00
1876    80    1795       122.00      104.00      226.00
1876    81    1795       106.00      100.00      206.00
1876    81    1794        95.00       93.00      188.00
1876    82    1794        71.00       93.00      164.00
1876    82    1793        97.00       96.00      193.00
1876    83    1793        70.00       85.00      155.00
1876    83    1792        98.00       78.00      176.00
1876    84    1792        65.00       56.00      121.00
1876    84    1791        86.00       78.00      164.00
1876    85    1791        44.00       52.00       96.00
1876    85    1790        63.00       58.00      121.00
1876    86    1790        45.00       44.00       89.00
1876    86    1789        47.00       56.00      103.00
1876    87    1789        28.00       33.00       61.00
1876    87    1788        30.00       46.00       76.00
1876    88    1788        28.00       27.00       55.00
1876    88    1787        35.00       41.00       76.00
1876    89    1787        21.00       23.00       44.00
1876    89    1786        18.00       29.00       47.00
1876    90    1786        15.00       17.00       32.00
1876    90    1785        16.00       20.00       36.00
1876    91    1785         8.00       15.00       23.00
1876    91    1784         7.00        6.00       13.00
1876    92    1784         5.00        6.00       11.00
1876    92    1783         7.00        4.00       11.00
1876    93    1783         5.00        5.00       10.00
1876    93    1782         5.00        3.00        8.00
1876    94    1782         4.00        1.00        5.00
1876    94    1781         0.00        2.00        2.00
1876    95    1781         1.00        1.00        2.00
1876    95    1780         4.00        4.00        8.00
1876    96    1780         2.00        2.00        4.00
1876    96    1779         2.00        3.00        5.00
1876    97    1779         1.00        1.00        2.00
1876    97    1778         1.00        0.00        1.00
1876    98    1778         1.00        0.00        1.00
1876    98    1777         1.00        1.00        2.00
1876    99    1777         0.00        0.57        0.57
1876    99    1776         0.00        0.43        0.43
1876   100    1776         0.00        0.00        0.00
1876   100    1775         0.00        0.00        0.00
1876   101    1775         0.00        0.00        0.00
1876   101    1774         0.00        0.00        0.00
