Sweden, Deaths (Lexis triangle)     Last modified: 16-Aug-2011, MPv5 (May07)

Year   Age   Cohort    Female        Male       Total 
1751     0    1751      3954.74     4508.85     8463.59
1751     0    1750      2033.26     2393.15     4426.41
1751     1    1750       765.05      810.91     1575.96
1751     1    1749       521.40      548.97     1070.37
1751     2    1749       419.95      446.84      866.79
1751     2    1748       414.61      435.29      849.90
1751     3    1748       312.99      331.92      644.91
1751     3    1747       309.01      323.34      632.35
1751     4    1747       237.00      252.13      489.13
1751     4    1746       233.99      245.61      479.60
1751     5    1746       166.79      182.80      349.59
1751     5    1745       172.21      182.04      354.25
1751     6    1745       115.07      129.91      244.98
1751     6    1744       118.81      129.37      248.18
1751     7    1744        77.53       91.07      168.60
1751     7    1743        80.05       90.69      170.74
1751     8    1743        54.17       66.28      120.45
1751     8    1742        55.93       66.00      121.93
1751     9    1742        44.99       55.53      100.52
1751     9    1741        46.46       55.30      101.76
1751    10    1741        45.85       54.95      100.80
1751    10    1740        50.43       57.34      107.77
1751    11    1740        49.14       56.86      106.00
1751    11    1739        54.05       59.34      113.39
1751    12    1739        50.89       57.48      108.37
1751    12    1738        55.97       59.98      115.95
1751    13    1738        51.08       56.79      107.87
1751    13    1737        56.18       59.26      115.44
1751    14    1737        49.72       54.80      104.52
1751    14    1736        54.69       57.19      111.88
1751    15    1736        47.30       51.00       98.30
1751    15    1735        51.92       55.15      107.07
1751    16    1735        45.48       49.03       94.51
1751    16    1734        49.93       53.02      102.95
1751    17    1734        44.76       48.32       93.08
1751    17    1733        49.14       52.25      101.39
1751    18    1733        45.14       48.87       94.01
1751    18    1732        49.55       52.85      102.40
1751    19    1732        46.61       50.69       97.30
1751    19    1731        51.17       54.81      105.98
1751    20    1731        49.71       55.78      105.49
1751    20    1730        52.98       55.46      108.44
1751    21    1730        52.04       58.36      110.40
1751    21    1729        55.46       58.02      113.48
1751    22    1729        54.11       60.30      114.41
1751    22    1728        57.66       59.96      117.62
1751    23    1728        55.89       61.62      117.51
1751    23    1727        59.56       61.26      120.82
1751    24    1727        57.41       62.30      119.71
1751    24    1726        61.18       61.94      123.12
1751    25    1726        59.00       63.11      122.11
1751    25    1725        62.49       61.60      124.09
1751    26    1725        60.97       63.63      124.60
1751    26    1724        64.58       62.10      126.68
1751    27    1724        63.66       64.61      128.27
1751    27    1723        67.44       63.07      130.51
1751    28    1723        67.09       66.06      133.15
1751    28    1722        71.07       64.48      135.55
1751    29    1722        71.24       67.98      139.22
1751    29    1721        75.46       66.36      141.82
1751    30    1721        75.68       69.34      145.02
1751    30    1720        80.01       69.05      149.06
1751    31    1720        78.18       70.14      148.32
1751    31    1719        82.65       69.85      152.50
1751    32    1719        78.31       69.40      147.71
1751    32    1718        82.79       69.11      151.90
1751    33    1718        76.05       67.09      143.14
1751    33    1717        80.40       66.81      147.21
1751    34    1717        71.42       63.24      134.66
1751    34    1716        75.51       62.97      138.48
1751    35    1716        64.85       57.33      122.18
1751    35    1715        69.41       59.33      128.74
1751    36    1715        60.59       54.18      114.77
1751    36    1714        64.85       56.06      120.91
1751    37    1714        59.03       53.18      112.21
1751    37    1713        63.18       55.03      118.21
1751    38    1713        60.17       54.34      114.51
1751    38    1712        64.40       56.23      120.63
1751    39    1712        64.01       57.66      121.67
1751    39    1711        68.52       59.66      128.18
1751    40    1711        69.67       61.86      131.53
1751    40    1710        74.51       65.36      139.87
1751    41    1710        73.40       65.78      139.18
1751    41    1709        78.51       69.50      148.01
1751    42    1709        74.33       68.21      142.54
1751    42    1708        79.49       72.06      151.55
1751    43    1708        72.44       69.14      141.58
1751    43    1707        77.47       73.05      150.52
1751    44    1707        67.74       68.58      136.32
1751    44    1706        72.45       72.46      144.91
1751    45    1706        61.20       66.61      127.81
1751    45    1705        65.48       71.25      136.73
1751    46    1705        56.78       66.06      122.84
1751    46    1704        60.75       70.67      131.42
1751    47    1704        55.46       67.02      122.48
1751    47    1703        59.34       71.69      131.03
1751    48    1703        57.23       69.46      126.69
1751    48    1702        61.23       74.31      135.54
1751    49    1702        62.09       73.40      135.49
1751    49    1701        66.44       78.52      144.96
1751    50    1701        68.92       78.23      147.15
1751    50    1700        74.13       83.59      157.72
1751    51    1700        74.31       81.24      155.55
1751    51    1699        79.92       86.80      166.72
1751    52    1699        77.14       81.81      158.95
1751    52    1698        82.96       87.42      170.38
1751    53    1698        77.41       79.96      157.37
1751    53    1697        83.26       85.43      168.69
1751    54    1697        75.13       75.67      150.80
1751    54    1696        80.81       80.85      161.66
1751    55    1696        71.35       70.10      141.45
1751    55    1695        76.95       74.81      151.76
1751    56    1695        70.85       67.62      138.47
1751    56    1694        76.41       72.17      148.58
1751    57    1694        74.67       69.38      144.05
1751    57    1693        80.54       74.05      154.59
1751    58    1693        82.82       75.39      158.21
1751    58    1692        89.33       80.45      169.78
1751    59    1692        95.29       85.63      180.92
1751    59    1691       102.78       91.39      194.17
1751    60    1691       109.67       98.41      208.08
1751    60    1690       120.35      105.65      226.00
1751    61    1690       122.12      108.64      230.76
1751    61    1689       134.00      116.63      250.63
1751    62    1689       130.36      114.65      245.01
1751    62    1688       143.05      123.09      266.14
1751    63    1688       134.40      116.45      250.85
1751    63    1687       147.48      125.02      272.50
1751    64    1687       134.24      114.03      248.27
1751    64    1686       147.31      122.43      269.74
1751    65    1686       129.91      107.99      237.90
1751    65    1685       144.91      116.97      261.88
1751    66    1685       128.26      103.66      231.92
1751    66    1684       143.08      112.28      255.36
1751    67    1684       129.30      101.61      230.91
1751    67    1683       144.23      110.06      254.29
1751    68    1683       133.01      101.83      234.84
1751    68    1682       148.38      110.29      258.67
1751    69    1682       139.41      104.32      243.73
1751    69    1681       155.51      112.99      268.50
1751    70    1681       146.36      107.72      254.08
1751    70    1680       164.97      117.56      282.53
1751    71    1680       150.17      109.12      259.29
1751    71    1679       169.28      119.10      288.38
1751    72    1679       148.78      107.19      255.97
1751    72    1678       167.70      116.99      284.69
1751    73    1678       142.17      101.92      244.09
1751    73    1677       160.26      111.24      271.50
1751    74    1677       130.36       93.32      223.68
1751    74    1676       146.94      101.84      248.78
1751    75    1676       114.25       81.94      196.19
1751    75    1675       130.29       90.33      220.62
1751    76    1675       101.80       72.73      174.53
1751    76    1674       116.09       80.18      196.27
1751    77    1674        93.83       66.20      160.03
1751    77    1673       107.00       72.98      179.98
1751    78    1673        90.33       62.34      152.67
1751    78    1672       103.01       68.72      171.73
1751    79    1672        91.30       61.15      152.45
1751    79    1671       104.12       67.41      171.53
1751    80    1671        95.33       61.98      157.31
1751    80    1670       108.76       68.14      176.90
1751    81    1670        96.87       61.67      158.54
1751    81    1669       110.52       67.79      178.31
1751    82    1669        94.52       59.54      154.06
1751    82    1668       107.83       65.45      173.28
1751    83    1668        88.26       55.61      143.87
1751    83    1667       100.70       61.13      161.83
1751    84    1667        78.11       49.87      127.98
1751    84    1666        89.11       54.82      143.93
1751    85    1666        65.68       43.29      108.97
1751    85    1665        73.62       46.53      120.15
1751    86    1665        53.67       36.63       90.30
1751    86    1664        60.16       39.37       99.53
1751    87    1664        43.84       30.93       74.77
1751    87    1663        49.14       33.25       82.39
1751    88    1663        36.19       26.21       62.40
1751    88    1662        40.56       28.18       68.74
1751    89    1662        30.71       22.46       53.17
1751    89    1661        34.43       24.15       58.58
1751    90    1661        35.93       22.00       57.93
1751    90    1660        33.06       20.23       53.29
1751    91    1660        30.33       18.56       48.89
1751    91    1659        27.74       16.98       44.72
1751    92    1659        25.29       15.49       40.78
1751    92    1658        22.98       14.09       37.07
1751    93    1658        20.82       12.77       33.59
1751    93    1657        18.80       11.55       30.35
1751    94    1657        16.91       10.41       27.32
1751    94    1656        15.17        9.35       24.52
1751    95    1656        13.55        8.37       21.92
1751    95    1655        12.07        7.48       19.55
1751    96    1655        10.71        6.65       17.36
1751    96    1654         9.47        5.90       15.37
1751    97    1654         8.34        5.22       13.56
1751    97    1653         7.32        4.60       11.92
1751    98    1653         6.40        4.04       10.44
1751    98    1652         5.58        3.53        9.11
1751    99    1652         4.84        3.08        7.92
1751    99    1651         4.18        2.67        6.85
1751   100    1651         3.60        2.32        5.92
1751   100    1650         3.09        2.00        5.09
1751   101    1650         2.64        1.72        4.36
1751   101    1649         2.24        1.47        3.71
1751   102    1649         1.90        1.25        3.15
1751   102    1648         1.60        1.07        2.67
1751   103    1648         1.35        0.90        2.25
1751   103    1647         1.13        0.76        1.89
1751   104    1647         0.94        0.64        1.58
1751   104    1646         0.78        0.54        1.32
1751   105    1646         0.64        0.45        1.09
1751   105    1645         0.53        0.37        0.90
1751   106    1645         0.43        0.31        0.74
1751   106    1644         0.35        0.25        0.60
1751   107    1644         0.29        0.00        0.29
1751   107    1643         0.00        0.00        0.00
1751   108    1643         0.00        0.00        0.00
1751   108    1642         0.00        0.00        0.00
1751   109    1642         0.00        0.00        0.00
1751   109    1641         0.00        0.00        0.00
1751   110+      .         0.00        0.00        0.00
1752     0    1752      4200.66     4775.90     8976.56
1752     0    1751      2534.34     2934.10     5468.44
1752     1    1751      1130.32     1198.21     2328.53
1752     1    1750       766.10      812.41     1578.51
1752     2    1750       641.68      676.88     1318.56
