Switzerland, Life expectancy at birth (cohort, 1x1)     Last modified: 30-Aug-2011, MPv5 (May07)

Year     Female    Male   Total
1876      47.06   43.06   45.04
1877      48.14   44.27   46.19
1878      48.26   44.20   46.23
1879      48.69   44.25   46.45
1880      49.82   45.82   47.82
1881      51.16   46.94   49.06
1882      51.89   47.98   49.94
1883      52.12   48.41   50.27
1884      52.41   48.27   50.34
1885      52.39   48.35   50.39
1886      53.38   48.76   51.10
1887      53.14   48.47   50.82
1888      53.95   49.39   51.69
1889      54.41   49.80   52.14
1890      54.81   49.46   52.16
1891      55.93   50.75   53.39
1892      56.29   51.07   53.72
1893      56.39   51.30   53.89
1894      57.10   51.79   54.50
1895      57.48   51.87   54.70
1896      58.71   52.90   55.86
1897      58.53   52.97   55.80
1898      58.47   52.41   55.51
1899      59.14   53.15   56.19
1900      59.63   53.32   56.52
1901      61.08   54.97   58.09
1902      61.14   55.05   58.12
1903      61.29   55.47   58.42
1904      61.91   55.60   58.78
1905      63.09   56.40   59.77
1906      63.52   57.06   60.31
1907      64.73   57.78   61.26
1908      65.51   58.24   61.90
1909      65.14   58.52   61.86
1910      66.40   59.20   62.80
1911      66.31   59.09   62.72
1912      67.79   60.66   64.22
1913      68.45   61.22   64.83
1914      69.18   61.78   65.46
1915      69.66   62.17   65.91
1916      70.68   62.90   66.73
1917      70.54   63.09   66.79
1918      70.70   62.91   66.76
