Czech Republic, Life expectancy at birth (period, 1x1)     Last modified: 11-Feb-2011, MPv5 (May07)

Year     Female    Male   Total
1950      66.85   61.97   64.43
1951      67.72   62.75   65.25
1952      69.25   64.42   66.87
1953      69.92   65.13   67.56
1954      70.57   65.48   68.05
1955      71.55   66.32   68.97
1956      71.97   66.70   69.37
1957      71.69   66.31   69.03
1958      72.60   67.19   69.94
1959      72.71   67.06   69.92
1960      73.34   67.49   70.46
1961      73.55   67.62   70.64
1962      72.86   66.86   69.90
1963      73.48   67.27   70.42
1964      73.63   67.44   70.58
1965      73.38   67.08   70.27
1966      73.74   67.17   70.49
1967      73.66   67.03   70.38
1968      73.38   66.46   69.94
1969      73.06   65.84   69.44
1970      73.00   66.04   69.53
1971      73.37   66.15   69.77
1972      73.68   66.83   70.29
1973      73.69   66.53   70.13
1974      73.58   66.75   70.21
1975      74.00   67.00   70.55
1976      74.19   67.04   70.66
1977      74.20   67.11   70.71
1978      74.26   67.19   70.78
1979      74.34   67.32   70.89
1980      73.93   66.81   70.42
1981      74.40   67.21   70.86
1982      74.47   67.32   70.96
1983      74.31   67.05   70.73
1984      74.50   67.34   70.99
1985      74.77   67.50   71.20
1986      74.68   67.49   71.13
1987      75.20   67.86   71.58
1988      75.36   68.11   71.78
1989      75.43   68.12   71.83
1990      75.41   67.54   71.49
1991      75.74   68.22   72.03
1992      76.19   68.53   72.40
1993      76.43   69.25   72.92
1994      76.65   69.49   73.13
1995      76.66   69.68   73.26
1996      77.33   70.31   73.90
1997      77.43   70.43   74.01
1998      78.00   71.06   74.62
1999      78.09   71.34   74.80
2000      78.34   71.56   75.05
2001      78.53   72.03   75.38
2002      78.73   72.09   75.51
2003      78.67   72.07   75.45
2004      79.23   72.59   76.01
2005      79.29   72.93   76.22
2006      79.87   73.46   76.78
2007      80.09   73.69   76.99
2008      80.33   73.98   77.26
2009      80.32   74.18   77.35
