Spain, Life expectancy at birth (period, 1x1)     Last modified: 13-Jul-2011, MPv5 (May07)

Year     Female    Male   Total
1908      42.27   40.41   41.45
1909      42.05   39.90   41.06
1910      41.97   39.65   40.92
1911      40.69   38.77   39.80
1912      44.39   42.51   43.53
1913      43.47   41.54   42.56
1914      43.68   41.87   42.84
1915      43.90   42.09   43.05
1916      44.88   42.96   43.98
1917      43.53   41.60   42.63
1918      30.69   29.82   30.29
1919      42.26   39.90   41.12
1920      40.35   38.14   39.31
1921      43.19   40.75   42.03
1922      45.38   42.92   44.21
1923      45.97   43.45   44.75
1924      47.73   44.78   46.30
1925      48.40   45.41   46.95
1926      49.22   46.22   47.76
1927      49.95   46.93   48.49
1928      50.10   47.15   48.67
1929      51.10   47.79   49.49
1930      51.13   47.46   49.34
1931      50.96   47.42   49.25
1932      52.82   49.45   51.20
1933      53.24   49.84   51.60
1934      54.04   50.33   52.24
1935      54.59   50.72   52.72
1936      55.53   46.84   50.90
1937      52.22   42.87   47.22
1938      52.15   43.44   47.53
1939      51.78   43.09   47.09
1940      52.45   44.71   48.40
1941      51.42   43.41   47.16
1942      55.55   49.48   52.48
1943      57.57   52.06   54.85
1944      59.20   53.25   56.25
1945      60.57   54.98   57.84
1946      60.57   54.47   57.57
1947      61.79   56.69   59.33
1948      63.84   58.51   61.27
1949      63.52   58.33   61.02
1950      64.23   59.35   61.87
1951      63.79   59.05   61.52
1952      67.05   62.57   64.94
1953      67.89   63.47   65.81
1954      69.10   64.65   67.01
1955      68.94   64.36   66.78
1956      69.04   64.39   66.82
1957      68.92   64.18   66.66
1958      71.07   66.39   68.85
1959      71.07   66.23   68.77
1960      71.65   66.66   69.27
1961      71.97   67.09   69.66
1962      72.07   67.07   69.69
1963      72.36   67.12   69.85
1964      73.13   67.77   70.58
1965      73.56   68.17   70.99
1966      73.78   68.45   71.25
1967      74.06   68.56   71.44
1968      74.35   68.84   71.73
1969      73.88   68.35   71.26
1970      74.86   69.31   72.24
1971      74.55   68.84   71.85
1972      75.63   70.14   73.06
1973      75.51   69.83   72.84
1974      75.93   70.17   73.22
1975      76.31   70.46   73.56
1976      76.67   70.74   73.87
1977      77.19   71.20   74.39
1978      77.41   71.32   74.58
1979      78.01   71.76   75.13
1980      78.52   72.31   75.60
1981      78.74   72.47   75.74
1982      79.31   73.09   76.30
1983      79.09   72.87   76.08
1984      79.63   73.11   76.46
1985      79.63   73.04   76.42
1986      79.84   73.32   76.67
1987      80.16   73.44   76.90
1988      80.22   73.42   76.91
1989      80.44   73.35   76.98
1990      80.51   73.33   76.99
1991      80.70   73.42   77.11
1992      81.21   73.81   77.57
1993      81.27   74.00   77.70
1994      81.63   74.34   78.04
1995      81.75   74.39   78.12
1996      81.90   74.51   78.26
1997      82.24   75.14   78.77
1998      82.31   75.24   78.86
1999      82.31   75.26   78.86
2000      82.72   75.77   79.34
2001      83.04   76.12   79.69
2002      83.10   76.23   79.78
2003      82.94   76.26   79.72
2004      83.52   76.82   80.28
2005      83.48   76.87   80.27
2006      84.07   77.56   80.92
2007      84.03   77.62   80.92
2008      84.20   78.03   81.23
2009      84.55   78.48   81.64
