Japan, Life expectancy at birth (period, 1x1)     Last modified: 15-Dec-2010, MPv5 (May07)

Year     Female    Male   Total
1947      53.65   49.78   51.75
1948      58.63   55.02   56.89
1949      59.44   55.97   57.76
1950      60.90   57.58   59.30
1951      62.57   59.26   60.99
1952      64.66   61.25   63.03
1953      65.06   61.54   63.37
1954      66.58   62.49   64.61
1955      67.76   63.62   65.77
1956      67.67   63.44   65.63
1957      67.61   63.26   65.50
1958      69.31   64.76   67.12
1959      69.76   65.09   67.51
1960      70.14   65.31   67.80
1961      70.83   65.91   68.45
1962      71.13   66.19   68.73
1963      72.27   67.19   69.81
1964      72.76   67.64   70.28
1965      72.84   67.67   70.33
1966      73.65   68.46   71.14
1967      73.95   68.74   71.43
1968      74.29   69.06   71.75
1969      74.61   69.20   71.98
1970      74.67   69.32   72.07
1971      75.47   70.13   72.89
1972      76.02   70.63   73.42
1973      76.01   70.75   73.48
1974      76.35   71.24   73.91
1975      76.86   71.74   74.41
1976      77.28   72.12   74.81
1977      77.85   72.66   75.38
1978      78.21   72.95   75.70
1979      78.75   73.42   76.21
1980      78.75   73.38   76.19
1981      79.15   73.80   76.60
1982      79.71   74.25   77.11
1983      79.81   74.23   77.14
1984      80.25   74.59   77.54
1985      80.53   74.88   77.84
1986      80.96   75.26   78.26
1987      81.41   75.63   78.66
1988      81.31   75.57   78.58
1989      81.78   75.95   79.01
1990      81.85   75.93   79.03
1991      82.16   76.15   79.31
1992      82.29   76.12   79.35
1993      82.44   76.26   79.50
1994      82.90   76.58   79.90
1995      82.79   76.41   79.75
1996      83.52   77.03   80.45
1997      83.75   77.23   80.68
1998      83.95   77.20   80.77
1999      83.95   77.16   80.74
2000      84.58   77.70   81.34
2001      84.91   78.05   81.69
2002      85.21   78.32   81.99
2003      85.30   78.36   82.06
2004      85.57   78.65   82.36
2005      85.49   78.55   82.27
2006      85.79   79.00   82.67
2007      85.98   79.20   82.87
2008      86.04   79.31   82.96
2009      86.42   79.61   83.31
