Canada, Life expectancy at birth (period, 1x1)     Last modified: 20-Jul-2010, MPv5 (May07)

Year     Female    Male   Total
1921      58.16   55.95   57.02
1922      58.14   55.89   57.02
1923      58.05   55.85   57.02
1924      59.85   57.71   58.83
1925      60.44   58.07   59.31
1926      59.12   56.77   57.99
1927      59.95   57.39   58.68
1928      59.87   57.30   58.57
1929      59.25   56.72   57.97
1930      60.31   57.62   58.95
1931      61.65   59.00   60.36
1932      62.53   60.25   61.43
1933      63.37   61.22   62.36
1934      64.01   61.43   62.77
1935      63.72   61.21   62.49
1936      63.80   61.62   62.72
1937      62.83   59.92   61.35
1938      64.91   61.80   63.31
1939      65.33   62.23   63.74
1940      65.70   62.44   64.01
1941      65.68   61.98   63.76
1942      66.54   62.97   64.70
1943      66.42   62.90   64.61
1944      67.03   63.75   65.35
1945      68.13   64.65   66.33
1946      68.38   64.79   66.53
1947      68.90   64.82   66.78
1948      69.44   65.38   67.33
1949      69.85   65.63   67.65
1950      70.59   66.16   68.28
1951      70.86   66.42   68.55
1952      71.40   66.34   68.75
1953      71.80   66.69   69.13
1954      72.69   67.54   69.99
1955      72.87   67.51   70.05
1956      72.83   67.52   70.04
1957      72.97   67.29   69.96
1958      73.68   67.90   70.62
1959      73.64   67.98   70.66
1960      74.16   68.23   71.04
1961      74.46   68.40   71.27
1962      74.44   68.45   71.30
1963      74.51   68.41   71.31
1964      75.08   68.63   71.69
1965      75.14   68.75   71.79
1966      75.39   68.78   71.92
1967      75.66   68.93   72.13
1968      75.79   69.10   72.29
1969      76.02   69.17   72.45
1970      76.27   69.33   72.65
1971      76.64   69.61   72.98
1972      76.55   69.48   72.88
1973      76.83   69.66   73.11
1974      76.90   69.74   73.19
1975      77.23   69.99   73.49
1976      77.67   70.38   73.92
1977      77.97   70.63   74.21
1978      78.32   70.91   74.54
1979      78.59   71.31   74.90
1980      78.72   71.60   75.14
1981      79.11   72.01   75.55
1982      79.23   72.29   75.76
1983      79.55   72.69   76.14
1984      79.77   73.01   76.43
1985      79.73   73.03   76.41
1986      79.79   73.23   76.56
1987      80.11   73.51   76.86
1988      80.19   73.57   76.94
1989      80.39   73.87   77.20
1990      80.63   74.22   77.51
1991      80.73   74.44   77.69
1992      80.98   74.69   77.95
1993      80.79   74.63   77.82
1994      80.90   74.88   78.01
1995      80.99   75.02   78.13
1996      81.12   75.39   78.40
1997      81.23   75.68   78.60
1998      81.39   75.94   78.83
1999      81.61   76.16   79.05
2000      81.83   76.64   79.41
2001      82.01   76.92   79.65
2002      82.02   77.16   79.77
2003      82.23   77.32   79.95
2004      82.46   77.69   80.25
2005      82.54   77.85   80.37
2006      82.94   78.31   80.81
2007      82.95   78.35   80.82
