Germany, Life expectancy at birth (period, 1x1)     Last modified: 13-Apr-2011, MPv5 (May07)

Year     Female    Male   Total
1990      78.43   71.93   75.39
1991      78.69   72.12   75.61
1992      79.15   72.57   76.07
1993      79.23   72.68   76.16
1994      79.53   73.00   76.47
1995      79.71   73.18   76.66
1996      79.88   73.49   76.91
1997      80.28   73.95   77.35
1998      80.55   74.40   77.71
1999      80.76   74.67   77.95
2000      81.01   74.96   78.22
2001      81.29   75.39   78.59
2002      81.30   75.57   78.68
2003      81.39   75.65   78.75
2004      81.91   76.30   79.35
2005      81.99   76.52   79.48
2006      82.27   76.93   79.82
2007      82.44   77.11   79.99
2008      82.43   77.31   80.07
2009      82.53   77.45   80.18
