Poland, Life expectancy at birth (period, 1x1)     Last modified: 08-Jul-2011, MPv5 (May07)

Year     Female    Male   Total
1958      68.63   63.03   65.97
1959      68.34   62.62   65.61
1960      70.63   64.81   67.88
1961      70.81   64.86   67.98
1962      70.54   64.55   67.68
1963      71.52   65.41   68.61
1964      71.61   65.75   68.83
1965      72.36   66.40   69.52
1966      72.86   66.72   69.93
1967      72.67   66.34   69.62
1968      73.39   66.89   70.26
1969      72.97   66.31   69.75
1970      73.12   66.42   69.87
1971      73.17   66.02   69.67
1972      74.20   67.29   70.85
1973      74.33   67.17   70.85
1974      74.70   67.80   71.36
1975      74.34   67.04   70.77
1976      74.56   66.86   70.77
1977      74.61   66.60   70.67
1978      74.65   66.44   70.60
1979      74.98   66.80   70.93
1980      74.50   66.06   70.28
1981      75.29   67.14   71.26
1982      75.26   67.30   71.32
1983      75.17   67.08   71.16
1984      74.94   66.84   70.90
1985      74.76   66.51   70.64
1986      75.08   66.76   70.93
1987      75.15   66.81   70.98
1988      75.55   67.08   71.33
1989      75.43   66.72   71.08
1990      75.28   66.26   70.75
1991      75.10   65.88   70.46
1992      75.53   66.47   71.00
1993      75.82   67.14   71.52
1994      76.08   67.46   71.84
1995      76.42   67.60   72.06
1996      76.60   68.05   72.39
1997      76.99   68.36   72.75
1998      77.34   68.73   73.13
1999      77.46   68.68   73.17
2000      77.95   69.57   73.89
2001      78.33   70.00   74.32
2002      78.73   70.30   74.67
2003      78.85   70.48   74.85
2004      79.19   70.62   75.01
2005      79.30   70.75   75.15
2006      79.55   70.90   75.34
2007      79.63   70.92   75.41
2008      79.82   71.21   75.63
2009      79.92   71.48   75.82
