Russia, Life expectancy at birth (period, 1x1)     Last modified: 18-Nov-2011, MPv5 (May07)

Year     Female    Male   Total
1959      71.14   62.84   67.65
1960      72.31   63.67   68.67
1961      72.63   63.91   68.92
1962      72.27   63.67   68.58
1963      72.78   64.12   69.05
1964      73.58   64.89   69.85
1965      73.33   64.37   69.44
1966      73.55   64.29   69.51
1967      73.43   64.02   69.30
1968      73.56   63.73   69.26
1969      73.29   63.07   68.74
1970      73.44   63.07   68.86
1971      73.77   63.24   69.12
1972      73.62   63.24   69.02
1973      73.56   63.28   69.00
1974      73.77   63.12   68.99
1975      73.23   62.48   68.35
1976      73.04   62.19   68.10
1977      73.19   61.82   67.97
1978      73.23   61.83   68.01
1979      73.02   61.49   67.73
1980      72.96   61.38   67.70
1981      73.18   61.61   67.92
1982      73.64   62.24   68.38
1983      73.41   62.15   68.15
1984      72.96   61.71   67.67
1985      73.23   62.72   68.33
1986      74.22   64.77   69.95
1987      74.26   64.83   69.96
1988      74.25   64.61   69.81
1989      74.50   64.20   69.73
1990      74.32   63.76   69.36
1991      74.23   63.41   69.11
1992      73.71   61.96   67.98
1993      71.85   58.80   65.24
1994      71.07   57.38   63.93
1995      71.60   58.11   64.62
1996      72.41   59.61   65.89
1997      72.85   60.84   66.79
1998      73.12   61.19   67.14
1999      72.42   59.86   65.99
2000      72.25   58.99   65.38
2001      72.16   58.88   65.30
2002      71.89   58.63   65.02
2003      71.84   58.50   64.92
2004      72.31   58.85   65.30
2005      72.41   58.85   65.33
2006      73.24   60.33   66.65
2007      73.90   61.33   67.59
2008      74.18   61.78   67.98
2009      74.70   62.73   68.79
2010      74.79   62.95   68.93
