Switzerland, Life expectancy at birth (period, 1x1)     Last modified: 30-Aug-2011, MPv5 (May07)

Year     Female    Male   Total
1876      41.81   38.38   40.10
1877      41.52   38.51   40.01
1878      41.77   39.17   40.47
1879      43.39   40.26   41.81
1880      43.94   40.87   42.41
1881      43.17   40.58   41.87
1882      44.37   41.62   42.98
1883      46.00   43.94   44.94
1884      46.31   43.81   45.00
1885      45.10   42.65   43.83
1886      45.87   43.51   44.68
1887      46.72   44.13   45.44
1888      47.30   44.63   45.97
1889      46.23   44.04   45.14
1890      46.32   43.60   44.95
1891      46.13   43.32   44.71
1892      48.62   45.83   47.23
1893      47.33   44.79   46.07
1894      47.01   44.57   45.79
1895      48.34   45.39   46.84
1896      50.43   47.34   48.88
1897      50.52   47.69   49.10
1898      49.81   46.59   48.20
1899      51.05   47.56   49.29
1900      48.84   46.14   47.48
1901      50.59   47.32   48.94
1902      51.76   49.08   50.41
1903      51.29   48.80   50.03
1904      50.39   47.93   49.16
1905      51.10   48.23   49.67
1906      52.18   49.26   50.72
1907      52.71   49.62   51.19
1908      53.87   50.67   52.26
1909      53.11   50.12   51.61
1910      54.64   51.23   52.91
1911      53.37   50.11   51.72
1912      56.10   52.72   54.42
1913      55.94   52.47   54.21
1914      56.76   53.44   55.13
1915      57.50   54.30   55.95
1916      58.12   54.96   56.59
1917      57.43   54.10   55.81
1918      48.98   43.79   46.30
1919      55.99   53.83   54.97
1920      55.63   53.02   54.38
1921      59.48   56.13   57.87
1922      59.66   57.25   58.50
1923      61.75   58.24   60.04
1924      61.02   57.89   59.49
1925      61.41   58.40   59.95
1926      62.15   59.02   60.64
1927      61.57   58.55   60.10
1928      62.20   58.66   60.47
1929      62.06   58.22   60.17
1930      63.49   59.31   61.43
1931      63.01   59.39   61.24
1932      63.02   59.34   61.23
1933      64.22   60.49   62.41
1934      64.92   60.75   62.89
1935      63.95   60.21   62.13
1936      65.26   61.00   63.18
1937      65.42   61.50   63.51
1938      65.63   61.96   63.85
1939      66.05   61.86   64.01
1940      65.68   61.36   63.58
1941      67.03   62.80   64.98
1942      67.75   63.41   65.65
1943      68.00   63.54   65.84
1944      67.04   62.59   64.88
1945      67.38   63.31   65.42
1946      67.77   64.24   66.07
1947      68.34   64.07   66.26
1948      69.42   65.13   67.34
1949      70.04   65.77   67.97
1950      71.09   66.65   68.94
1951      70.97   66.34   68.71
1952      71.85   67.24   69.62
1953      71.88   67.05   69.53
1954      72.30   67.58   70.00
1955      72.34   67.69   70.08
1956      72.64   67.67   70.21
1957      73.17   67.84   70.56
1958      73.94   68.55   71.30
1959      74.09   68.71   71.46
1960      74.11   68.65   71.44
1961      74.58   68.84   71.76
1962      74.09   68.44   71.32
1963      74.23   68.29   71.31
1964      75.11   69.19   72.20
1965      75.07   69.47   72.33
1966      75.25   69.56   72.47
1967      75.72   69.69   72.77
1968      75.53   69.80   72.72
1969      75.65   69.71   72.73
1970      76.16   70.03   73.14
1971      76.25   70.16   73.26
1972      76.82   70.62   73.78
1973      77.05   70.98   74.08
1974      77.55   71.17   74.43
1975      78.00   71.49   74.82
1976      78.14   71.60   74.94
1977      78.67   71.96   75.39
1978      78.65   71.88   75.34
1979      78.78   72.31   75.64
1980      78.85   72.23   75.64
1981      79.13   72.42   75.87
1982      79.43   72.78   76.21
1983      79.55   72.68   76.22
1984      80.03   73.35   76.82
1985      80.15   73.48   76.94
1986      80.30   73.66   77.11
1987      80.66   73.90   77.41
1988      80.72   73.88   77.43
1989      80.93   74.07   77.62
1990      80.71   73.94   77.44
1991      81.09   74.10   77.71
1992      81.33   74.44   78.02
1993      81.42   74.89   78.31
1994      81.71   75.14   78.60
1995      81.69   75.29   78.67
1996      82.00   75.94   79.15
1997      82.05   76.26   79.35
1998      82.50   76.33   79.61
1999      82.53   76.80   79.88
2000      82.62   76.95   79.99
2001      83.01   77.38   80.40
2002      83.03   77.78   80.62
2003      83.07   77.94   80.72
2004      83.60   78.51   81.27
2005      83.80   78.65   81.45
2006      83.95   79.07   81.75
2007      84.09   79.32   81.93
2008      84.31   79.66   82.20
2009      84.33   79.71   82.23
