Sweden, Life expectancy at birth (period, 1x1)     Last modified: 16-Aug-2011, MPv5 (May07)

Year     Female    Male   Total
1751      39.88   36.81   38.35
1752      36.75   33.88   35.32
1753      41.27   38.05   39.69
1754      39.01   35.80   37.45
1755      37.60   35.34   36.51
1756      37.81   34.51   36.19
1757      35.01   32.47   33.77
1758      34.40   31.34   32.89
1759      39.90   36.38   38.18
1760      41.18   38.08   39.67
1761      39.13   36.35   37.78
1762      33.58   31.20   32.42
1763      31.75   29.00   30.39
1764      37.92   34.56   36.28
1765      37.80   34.07   35.95
1766      39.68   36.39   38.06
1767      40.10   36.25   38.20
1768      36.22   33.71   35.01
1769      35.57   33.68   34.66
1770      37.75   35.41   36.62
1771      36.83   33.90   35.40
1772      29.59   25.86   27.70
1773      18.79   17.15   17.98
1774      41.35   39.72   40.57
1775      39.21   36.99   38.14
1776      42.77   40.16   41.50
1777      39.19   36.96   38.11
1778      36.75   34.24   35.54
1779      33.38   32.14   32.81
1780      44.02   41.24   42.70
1781      39.15   36.38   37.83
1782      38.23   35.02   36.65
1783      35.52   31.89   33.75
1784      32.65   30.13   31.40
1785      34.59   32.26   33.47
1786      39.33   36.34   37.87
1787      41.78   38.67   40.28
1788      38.18   35.34   36.80
1789      34.69   28.04   31.13
1790      35.37   31.77   33.53
1791      39.56   37.25   38.49
1792      41.27   38.32   39.85
1793      40.79   38.38   39.65
1794      41.81   38.93   40.43
1795      37.75   35.26   36.55
1796      40.23   37.41   38.89
1797      41.88   38.75   40.36
1798      42.91   39.67   41.34
1799      41.00   37.59   39.33
1800      33.15   31.11   32.16
1801      38.03   35.66   36.90
1802      41.81   38.48   40.20
1803      41.83   38.58   40.28
1804      41.41   37.92   39.70
1805      42.38   39.62   41.05
1806      37.23   35.03   36.17
1807      39.91   37.52   38.76
1808      32.23   28.13   30.15
1809      28.91   24.92   26.90
1810      33.63   30.30   31.99
1811      36.21   32.88   34.58
1812      36.84   33.29   35.07
1813      38.57   34.39   36.49
1814      40.11   36.98   38.57
1815      41.86   38.94   40.42
1816      43.61   39.85   41.74
1817      41.77   38.76   40.29
1818      41.95   38.03   40.02
1819      38.61   35.27   36.97
1820      41.84   38.57   40.23
1821      39.53   36.69   38.14
1822      44.80   40.66   42.76
1823      47.35   42.98   45.19
1824      47.24   42.65   44.97
1825      47.57   42.88   45.24
1826      45.38   40.78   43.08
1827      44.58   40.68   42.64
1828      40.25   35.30   37.74
1829      38.57   33.86   36.18
1830      43.40   38.54   40.97
1831      41.13   36.82   38.98
1832      42.55   39.08   40.84
1833      44.66   40.31   42.50
1834      40.85   36.26   38.53
1835      49.32   44.91   47.14
1836      47.21   43.01   45.13
1837      41.76   37.40   39.57
1838      42.19   37.80   39.98
1839      41.73   37.96   39.88
1840      46.10   41.81   43.98
1841      47.20   43.01   45.17
1842      45.00   40.55   42.80
1843      44.82   40.77   42.82
1844      46.88   41.18   44.03
1845      48.47   43.47   45.99
1846      43.90   40.12   42.04
1847      41.91   38.30   40.12
1848      47.26   42.96   45.13
1849      46.81   42.17   44.50
1850      47.26   42.14   44.69
1851      46.07   41.17   43.62
1852      43.70   39.01   41.35
1853      41.93   38.03   39.99
1854      46.49   42.52   44.55
1855      44.78   41.29   43.08
1856      44.00   40.21   42.14
1857      36.57   32.70   34.64
1858      43.58   40.35   42.00
1859      46.16   42.32   44.27
1860      50.26   46.59   48.47
1861      48.93   45.24   47.12
1862      44.05   41.00   42.55
1863      46.99   43.72   45.38
1864      46.45   43.03   44.77
1865      47.40   43.32   45.40
1866      46.80   42.61   44.73
1867      48.17   44.09   46.18
1868      45.09   41.30   43.23
1869      42.65   39.18   40.96
1870      46.81   43.15   45.01
1871      50.67   47.17   48.98
1872      51.92   48.07   50.08
1873      50.35   46.91   48.68
1874      46.12   42.35   44.28
1875      46.44   42.67   44.61
1876      46.32   43.21   44.82
1877      47.77   44.19   46.05
1878      47.98   45.36   46.73
1879      50.26   47.46   48.92
1880      49.08   46.07   47.62
1881      49.94   46.93   48.50
1882      50.11   46.93   48.59
1883      50.51   47.40   49.05
1884      50.67   47.51   49.17
1885      50.42   47.31   48.94
1886      51.90   49.13   50.60
1887      52.85   49.91   51.46
1888      53.53   51.01   52.35
1889      53.39   51.08   52.30
1890      51.77   49.08   50.48
1891      52.53   49.57   51.09
1892      51.83   49.32   50.61
1893      52.63   49.98   51.36
1894      53.17   50.91   52.10
1895      55.38   52.84   54.16
1896      54.67   52.18   53.49
1897      55.32   52.81   54.14
1898      56.07   53.19   54.69
1899      52.28   49.51   50.95
1900      53.62   50.79   52.27
1901      54.08   51.63   52.92
1902      55.90   53.53   54.76
1903      56.45   53.62   55.09
1904      56.52   54.19   55.40
1905      55.75   53.23   54.55
1906      57.78   55.48   56.70
1907      58.13   55.73   56.98
1908      57.52   55.22   56.42
1909      59.53   57.20   58.42
1910      59.06   56.44   57.80
1911      59.44   56.54   58.03
1912      59.12   56.38   57.79
1913      60.03   57.24   58.68
1914      59.48   56.97   58.26
1915      58.41   55.92   57.20
1916      59.33   57.02   58.22
1917      60.09   57.59   58.90
1918      51.43   48.21   49.81
1919      57.99   55.11   56.57
1920      60.13   57.44   58.81
1921      62.30   59.71   61.03
1922      61.89   60.17   61.05
1923      64.10   61.81   63.00
1924      63.10   60.83   62.00
1925      63.71   61.39   62.56
1926      63.80   61.74   62.79
1927      62.64   60.48   61.59
1928      63.25   61.26   62.27
1929      63.43   61.20   62.32
1930      64.21   62.14   63.19
1931      63.60   61.73   62.69
1932      64.91   62.95   63.95
1933      65.97   63.65   64.83
1934      66.08   63.84   64.98
1935      66.05   63.67   64.86
1936      65.77   63.43   64.61
1937      65.83   63.44   64.63
1938      67.10   64.03   65.57
1939      67.70   65.07   66.40
1940      68.11   65.36   66.74
1941      68.32   65.75   67.03
1942      70.35   67.55   68.97
1943      70.09   67.33   68.72
1944      69.29   66.20   67.74
1945      69.52   67.15   68.34
1946      70.66   68.34   69.51
1947      70.61   68.30   69.47
1948      72.12   69.34   70.73
1949      72.14   69.45   70.80
1950      72.44   69.83   71.14
1951      72.70   70.03   71.37
1952      73.29   70.42   71.86
1953      73.39   70.42   71.90
1954      73.86   70.85   72.36
1955      74.14   71.05   72.60
1956      74.39   70.95   72.66
1957      74.26   70.73   72.49
1958      74.78   71.51   73.14
1959      75.19   71.56   73.37
1960      74.87   71.23   73.04
1961      75.38   71.64   73.50
1962      75.41   71.36   73.37
1963      75.62   71.54   73.56
1964      75.88   71.63   73.73
1965      76.08   71.73   73.88
1966      76.47   71.85   74.13
1967      76.54   71.85   74.16
1968      76.40   71.73   74.03
1969      76.64   71.73   74.15
1970      77.22   72.24   74.70
1971      77.38   71.96   74.62
1972      77.53   72.02   74.72
1973      77.71   72.15   74.88
1974      77.90   72.20   74.99
1975      77.94   72.17   75.00
1976      77.96   72.16   75.01
1977      78.57   72.41   75.44
1978      78.69   72.46   75.53
1979      78.72   72.50   75.57
1980      78.85   72.78   75.80
1981      79.14   73.08   76.10
1982      79.39   73.43   76.42
1983      79.64   73.63   76.66
1984      79.93   73.85   76.92
1985      79.69   73.78   76.78
1986      80.02   73.97   77.04
1987      80.14   74.16   77.19
1988      79.93   74.12   77.08
1989      80.56   74.78   77.74
1990      80.40   74.81   77.67
1991      80.54   74.94   77.82
1992      80.79   75.36   78.17
1993      80.78   75.49   78.24
1994      81.39   76.08   78.86
1995      81.46   76.18   78.95
1996      81.53   76.53   79.16
1997      81.82   76.71   79.40
1998      81.94   76.88   79.55
1999      81.91   77.08   79.63
2000      82.04   77.40   79.86
2001      82.08   77.56   79.95
2002      82.11   77.74   80.07
2003      82.45   77.93   80.35
2004      82.69   78.38   80.70
2005      82.79   78.45   80.78
2006      82.93   78.72   80.98
2007      82.98   78.96   81.11
2008      83.15   79.12   81.27
2009      83.59   79.56   81.72
2010      83.71   79.72   81.86
