Taiwan, Life expectancy at birth (period, 1x1)     Last modified: 06-Oct-2010, MPv5 (May07)

Year     Female    Male   Total
1970      71.42   66.32   68.69
1971      71.78   66.76   69.10
1972      72.07   67.08   69.39
1973      72.22   67.07   69.45
1974      72.58   67.41   69.81
1975      72.88   67.63   70.07
1976      73.21   68.05   70.43
1977      73.40   68.19   70.59
1978      73.94   68.79   71.16
1979      74.13   68.90   71.31
1980      74.23   69.25   71.54
1981      74.28   69.41   71.65
1982      74.78   69.93   72.16
1983      74.79   69.90   72.15
1984      75.48   70.52   72.81
1985      75.60   70.77   72.99
1986      75.76   70.86   73.12
1987      76.14   71.08   73.39
1988      75.98   70.88   73.21
1989      76.36   71.13   73.52
1990      76.64   71.40   73.79
1991      77.11   71.86   74.27
1992      77.10   71.81   74.24
1993      77.49   72.03   74.53
1994      77.83   72.04   74.69
1995      77.63   71.85   74.50
1996      77.82   72.02   74.68
1997      78.34   72.53   75.20
1998      78.58   72.66   75.39
1999      78.58   72.82   75.50
2000      79.22   73.32   76.05
2001      79.60   73.67   76.43
2002      79.94   74.27   76.91
2003      80.09   74.51   77.11
2004      80.41   74.43   77.23
2005      80.57   74.31   77.23
2006      81.36   74.96   77.97
2007      81.38   75.27   78.14
2008      81.63   75.44   78.36
2009      82.00   75.94   78.81
