The United States of America, Life expectancy at birth (period, 1x1)     Last modified: 13-Oct-2010, MPv5 (May07)

Year     Female    Male   Total
1933      62.82   59.19   60.96
1934      62.34   58.34   60.29
1935      63.04   58.96   60.94
1936      62.60   58.35   60.40
1937      63.37   59.00   61.10
1938      64.54   60.45   62.43
1939      65.25   61.12   63.12
1940      65.57   61.14   63.28
1941      66.27   61.59   63.84
1942      67.17   62.26   64.63
1943      66.90   61.90   64.34
1944      67.76   62.54   65.13
1945      68.34   62.96   65.63
1946      69.02   63.76   66.33
1947      69.45   64.19   66.73
1948      70.10   64.69   67.30
1949      70.52   65.02   67.68
1950      71.02   65.40   68.12
1951      71.22   65.41   68.22
1952      71.50   65.55   68.44
1953      71.92   65.80   68.79
1954      72.70   66.57   69.58
1955      72.80   66.58   69.63
1956      72.95   66.61   69.71
1957      72.74   66.36   69.49
1958      73.00   66.60   69.76
1959      73.31   66.75   69.98
1960      73.31   66.63   69.91
1961      73.70   67.03   70.32
1962      73.59   66.88   70.21
1963      73.50   66.63   70.04
1964      73.81   66.82   70.33
1965      73.93   66.80   70.41
1966      73.97   66.69   70.43
1967      74.33   66.93   70.76
1968      74.09   66.57   70.42
1969      74.40   66.77   70.66
1970      74.65   67.02   70.92
1971      74.96   67.37   71.24
1972      75.11   67.43   71.34
1973      75.32   67.62   71.54
1974      75.86   68.19   72.08
1975      76.45   68.72   72.68
1976      76.68   69.09   72.99
1977      77.08   69.41   73.38
1978      77.23   69.63   73.58
1979      77.66   70.01   74.03
1980      77.48   69.99   73.93
1981      77.80   70.41   74.36
1982      78.08   70.81   74.65
1983      78.09   70.97   74.71
1984      78.18   71.13   74.81
1985      78.18   71.08   74.79
1986      78.27   71.15   74.87
1987      78.36   71.32   75.01
1988      78.32   71.33   75.02
1989      78.58   71.61   75.30
1990      78.87   71.86   75.59
1991      78.99   72.05   75.79
1992      79.21   72.34   76.06
1993      78.96   72.19   75.80
1994      79.09   72.41   75.97
1995      79.12   72.61   76.04
1996      79.27   73.10   76.38
1997      79.43   73.58   76.73
1998      79.50   73.86   76.89
1999      79.43   73.98   76.89
2000      79.52   74.19   77.04
2001      79.62   74.34   77.16
2002      79.69   74.42   77.21
2003      79.83   74.62   77.38
2004      80.21   75.06   77.81
2005      80.23   75.06   77.81
2006      80.52   75.36   78.09
2007      80.78   75.64   78.32
