Switzerland, Life tables (period 1x1), Males     Last modified: 30-Aug-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1876           0     0.28271  0.23769  0.33  100000   23769   84075  3838183  38.38
  1876           1     0.03599  0.03536  0.50   76231    2695   74884  3754108  49.25
  1876           2     0.01952  0.01933  0.50   73536    1421   72825  3679225  50.03
  1876           3     0.01266  0.01258  0.50   72115     907   71661  3606400  50.01
  1876           4     0.00945  0.00941  0.50   71207     670   70872  3534739  49.64
  1876           5     0.00751  0.00748  0.50   70537     528   70273  3463867  49.11
  1876           6     0.00691  0.00689  0.50   70009     482   69768  3393594  48.47
  1876           7     0.00549  0.00548  0.50   69527     381   69337  3323825  47.81
  1876           8     0.00405  0.00405  0.50   69146     280   69006  3254489  47.07
  1876           9     0.00516  0.00514  0.50   68866     354   68689  3185483  46.26
  1876          10     0.00404  0.00404  0.50   68512     277   68374  3116793  45.49
  1876          11     0.00373  0.00373  0.50   68236     254   68109  3048419  44.67
  1876          12     0.00323  0.00323  0.50   67981     219   67872  2980311  43.84
  1876          13     0.00316  0.00315  0.50   67762     214   67655  2912439  42.98
  1876          14     0.00345  0.00344  0.50   67548     232   67432  2844784  42.11
  1876          15     0.00415  0.00414  0.50   67316     279   67177  2777351  41.26
  1876          16     0.00484  0.00482  0.50   67037     323   66876  2710175  40.43
  1876          17     0.00456  0.00455  0.50   66714     303   66562  2643299  39.62
  1876          18     0.00773  0.00770  0.50   66411     512   66155  2576737  38.80
  1876          19     0.00893  0.00889  0.50   65899     586   65606  2510582  38.10
  1876          20     0.00733  0.00730  0.50   65314     477   65075  2444975  37.43
  1876          21     0.00764  0.00761  0.50   64837     494   64590  2379900  36.71
  1876          22     0.00760  0.00757  0.50   64343     487   64100  2315310  35.98
  1876          23     0.00863  0.00860  0.50   63856     549   63582  2251211  35.25
  1876          24     0.00977  0.00972  0.50   63307     615   63000  2187629  34.56
  1876          25     0.01028  0.01023  0.50   62692     641   62371  2124629  33.89
  1876          26     0.00915  0.00911  0.50   62051     565   61768  2062258  33.24
  1876          27     0.01063  0.01057  0.50   61486     650   61161  2000489  32.54
  1876          28     0.00917  0.00913  0.50   60836     555   60558  1939329  31.88
  1876          29     0.00921  0.00917  0.50   60280     553   60004  1878771  31.17
  1876          30     0.01069  0.01064  0.50   59728     635   59410  1818767  30.45
  1876          31     0.01188  0.01181  0.50   59093     698   58744  1759356  29.77
  1876          32     0.01057  0.01052  0.50   58395     614   58088  1700613  29.12
  1876          33     0.01140  0.01134  0.50   57781     655   57453  1642525  28.43
  1876          34     0.01058  0.01053  0.50   57126     601   56825  1585071  27.75
  1876          35     0.01179  0.01172  0.50   56524     663   56193  1528246  27.04
  1876          36     0.01341  0.01332  0.50   55862     744   55489  1472053  26.35
  1876          37     0.01242  0.01234  0.50   55117     680   54777  1416564  25.70
  1876          38     0.01472  0.01461  0.50   54437     796   54039  1361787  25.02
  1876          39     0.01369  0.01359  0.50   53641     729   53277  1307748  24.38
  1876          40     0.01336  0.01327  0.50   52912     702   52561  1254471  23.71
  1876          41     0.01560  0.01548  0.50   52210     808   51806  1201910  23.02
  1876          42     0.01529  0.01517  0.50   51402     780   51012  1150104  22.37
  1876          43     0.01482  0.01472  0.50   50622     745   50250  1099092  21.71
  1876          44     0.01844  0.01827  0.50   49877     911   49421  1048842  21.03
  1876          45     0.01652  0.01638  0.50   48966     802   48565   999421  20.41
  1876          46     0.01875  0.01857  0.50   48163     895   47716   950856  19.74
  1876          47     0.02057  0.02036  0.50   47269     962   46788   903140  19.11
  1876          48     0.02006  0.01986  0.50   46306     920   45847   856352  18.49
  1876          49     0.02293  0.02267  0.50   45387    1029   44872   810506  17.86
  1876          50     0.02423  0.02394  0.50   44358    1062   43827   765634  17.26
  1876          51     0.02462  0.02432  0.50   43296    1053   42769   721807  16.67
  1876          52     0.02651  0.02616  0.50   42243    1105   41690   679037  16.07
  1876          53     0.02708  0.02672  0.50   41138    1099   40588   637347  15.49
  1876          54     0.02799  0.02760  0.50   40038    1105   39486   596759  14.90
  1876          55     0.03252  0.03200  0.50   38933    1246   38310   557273  14.31
  1876          56     0.03695  0.03628  0.50   37687    1367   37004   518963  13.77
  1876          57     0.03962  0.03885  0.50   36320    1411   35614   481959  13.27
  1876          58     0.02858  0.02818  0.50   34909     984   34417   446345  12.79
  1876          59     0.04027  0.03947  0.50   33925    1339   33256   411927  12.14
