0 100000 0,00452 452 99601 8059425 80,59
1 99548 0,00031 31 99533 7959824 79,96
2 99518 0,00021 21 99507 7860291 78,98
3 99496 0,00015 15 99489 7760784 78,00
4 99481 0,00012 12 99476 7661295 77,01
5 99470 0,00010 10 99465 7561819 76,02
6 99460 0,00010 10 99455 7462354 75,03
7 99450 0,00010 10 99445 7362899 74,04
8 99440 0,00010 10 99435 7263454 73,04
9 99430 0,00010 10 99425 7164019 72,05
10 99420 0,00010 10 99415 7064594 71,06
11 99410 0,00010 10 99404 6965179 70,07
12 99399 0,00011 11 99394 6865774 69,07
13 99388 0,00012 12 99382 6766381 68,08
14 99376 0,00014 14 99369 6666998 67,09
15 99362 0,00017 17 99354 6567629 66,10
16 99346 0,00019 19 99336 6468275 65,11
17 99326 0,00021 21 99316 6368939 64,12
18 99305 0,00023 23 99294 6269623 63,13
19 99283 0,00023 23 99271 6170329 62,15
20 99259 0,00023 23 99248 6071058 61,16
21 99236 0,00022 22 99225 5971810 60,18
22 99214 0,00022 22 99203 5872585 59,19
23 99192 0,00021 21 99182 5773382 58,20
24 99171 0,00022 22 99160 5674200 57,22
25 99149 0,00023 23 99138 5575040 56,23
26 99126 0,00025 25 99114 5475902 55,24
27 99102 0,00027 27 99088 5376788 54,26
28 99075 0,00029 29 99061 5277700 53,27
29 99046 0,00031 30 99031 5178640 52,29
30 99016 0,00034 33 98999 5079608 51,30
31 98983 0,00037 36 98965 4980609 50,32
32 98946 0,00041 40 98926 4881645 49,34
33 98906 0,00045 45 98884 4782718 48,36
34 98861 0,00050 50 98837 4683835 47,38
35 98812 0,00056 56 98784 4584998 46,40
36 98756 0,00063 62 98725 4486214 45,43
37 98694 0,00070 69 98659 4387489 44,46
38 98625 0,00078 77 98586 4288830 43,49
39 98548 0,00087 86 98505 4190243 42,52
40 98462 0,00097 96 98414 4091739 41,56
41 98366 0,00109 107 98312 3993325 40,60
42 98258 0,00122 120 98198 3895013 39,64
43 98138 0,00138 135 98071 3796814 38,69
44 98003 0,00155 152 97927 3698744 37,74
45 97851 0,00174 171 97766 3600816 36,80
46 97681 0,00196 192 97585 3503050 35,86
47 97489 0,00220 214 97382 3405465 34,93
48 97275 0,00246 239 97155 3308084 34,01
49 97036 0,00273 265 96903 3210928 33,09
50 96771 0,00303 293 96624 3114025 32,18
51 96478 0,00334 322 96317 3017401 31,28
52 96156 0,00368 353 95979 2921084 30,38
53 95802 0,00404 387 95609 2825105 29,49
54 95416 0,00442 422 95205 2729496 28,61
55 94994 0,00484 460 94764 2634291 27,73
56 94534 0,00529 500 94284 2539527 26,86
57 94034 0,00577 542 93763 2445243 26,00
58 93492 0,00628 587 93198 2351480 25,15
59 92905 0,00681 633 92588 2258282 24,31
60 92272 0,00737 680 91932 2165693 23,47
61 91591 0,00796 729 91227 2073762 22,64
62 90862 0,00858 780 90472 1982535 21,82
63 90082 0,00924 832 89666 1892063 21,00
64 89250 0,00994 887 88806 1802397 20,19
65 88363 0,01070 946 87890 1713591 19,39
66 87417 0,01154 1009 86913 1625701 18,60
67 86408 0,01247 1078 85869 1538788 17,81
68 85331 0,01352 1154 84754 1452919 17,03
69 84177 0,01472 1239 83557 1368165 16,25
70 82937 0,01611 1336 82269 1284608 15,49
71 81601 0,01773 1447 80878 1202339 14,73
72 80154 0,01964 1574 79367 1121462 13,99
73 78580 0,02189 1720 77720 1042095 13,26
74 76860 0,02456 1888 75916 964375 12,55
75 74972 0,02771 2077 73933 888459 11,85
76 72894 0,03139 2288 71750 814526 11,17
77 70606 0,03565 2517 69347 742777 10,52
78 68089 0,04052 2759 66709 673429 9,89
79 65330 0,04601 3006 63827 606720 9,29
80 62324 0,05214 3250 60699 542893 8,71
81 59074 0,05891 3480 57334 482194 8,16
82 55594 0,06631 3686 53751 424860 7,64
83 51908 0,07436 3860 49978 371109 7,15
84 48048 0,08306 3991 46052 321131 6,68
85 44057 0,09246 4073 42020 275079 6,24
86 39984 0,10260 4102 37932 233058 5,83
87 35881 0,11350 4073 33845 195126 5,44
88 31809 0,12526 3984 29816 161281 5,07
89 27824 0,13793 3838 25905 131465 4,72
90 23986 0,15146 3633 22170 105559 4,40
91 20353 0,16616 3382 18662 83389 4,10
92 16971 0,18180 3085 15429 64727 3,81
93 13886 0,19838 2755 12509 49298 3,55
94 11131 0,21590 2403 9930 36790 3,31
95 8728 0,23434 2045 7705 26860 3,08
96 6683 0,25369 1695 5835 19155 2,87
97 4987 0,27392 1366 4304 13320 2,67
98 3621 0,29499 1068 3087 9016 2,49
99 2553 0,31687 809 2148 5929 2,32
100 1744 0,33949 592 1448 3780 2,17
