0 100000 0,00537 537 99533 7210249 72,10
1 99463 0,00036 36 99445 7110716 71,49
2 99427 0,00023 23 99415 7011271 70,52
3 99404 0,00015 15 99396 6911856 69,53
4 99389 0,00012 12 99383 6812459 68,54
5 99377 0,00011 11 99371 6713076 67,55
6 99366 0,00012 12 99360 6613705 66,56
7 99354 0,00012 12 99348 6514345 65,57
8 99342 0,00013 13 99335 6414997 64,58
9 99329 0,00014 13 99322 6315662 63,58
10 99315 0,00014 14 99309 6216340 62,59
11 99302 0,00014 14 99295 6117031 61,60
12 99287 0,00016 15 99280 6017737 60,61
13 99272 0,00019 19 99263 5918457 59,62
14 99253 0,00025 25 99241 5819194 58,63
15 99228 0,00036 35 99210 5719954 57,64
16 99192 0,00049 49 99168 5620744 56,67
17 99144 0,00065 64 99112 5521576 55,69
18 99080 0,00080 79 99040 5422464 54,73
19 99000 0,00093 92 98955 5323424 53,77
20 98909 0,00102 101 98858 5224469 52,82
21 98808 0,00107 106 98755 5125611 51,87
22 98702 0,00108 107 98649 5026856 50,93
23 98596 0,00107 105 98543 4928208 49,98
24 98490 0,00105 104 98438 4829665 49,04
25 98387 0,00105 103 98335 4731226 48,09
26 98283 0,00107 105 98231 4632891 47,14
27 98178 0,00110 108 98124 4534661 46,19
28 98070 0,00115 113 98014 4436536 45,24
29 97957 0,00121 118 97898 4338523 44,29
30 97839 0,00128 125 97777 4240624 43,34
31 97714 0,00137 134 97647 4142848 42,40
32 97580 0,00147 144 97509 4045200 41,46
33 97437 0,00160 156 97359 3947692 40,52
34 97281 0,00174 169 97196 3850333 39,58
35 97112 0,00191 185 97019 3753136 38,65
36 96927 0,00210 203 96825 3656117 37,72
37 96723 0,00231 223 96612 3559292 36,80
38 96500 0,00254 245 96378 3462680 35,88
39 96255 0,00280 270 96120 3366302 34,97
40 95985 0,00309 297 95837 3270182 34,07
41 95689 0,00341 326 95525 3174345 33,17
42 95362 0,00376 359 95183 3078820 32,29
43 95003 0,00416 395 94806 2983637 31,41
44 94609 0,00459 434 94391 2888831 30,53
45 94174 0,00508 478 93935 2794440 29,67
46 93696 0,00562 527 93432 2700505 28,82
47 93169 0,00622 580 92879 2607072 27,98
48 92589 0,00688 637 92270 2514193 27,15
49 91952 0,00761 699 91602 2421923 26,34
50 91252 0,00838 765 90870 2330321 25,54
51 90487 0,00921 834 90070 2239451 24,75
52 89653 0,01009 905 89201 2149381 23,97
53 88748 0,01102 978 88259 2060180 23,21
54 87770 0,01199 1052 87244 1971920 22,47
55 86718 0,01299 1127 86155 1884676 21,73
56 85592 0,01404 1202 84991 1798521 21,01
57 84390 0,01514 1277 83751 1713530 20,30
58 83112 0,01628 1353 82436 1629779 19,61
59 81759 0,01749 1430 81044 1547343 18,93
60 80329 0,01875 1507 79576 1466299 18,25
61 78823 0,02009 1584 78031 1386723 17,59
62 77239 0,02151 1661 76408 1308693 16,94
63 75578 0,02301 1739 74708 1232284 16,30
64 73838 0,02461 1817 72930 1157576 15,68
65 72021 0,02631 1895 71074 1084646 15,06
66 70126 0,02814 1973 69140 1013572 14,45
67 68153 0,03010 2051 67128 944433 13,86
68 66102 0,03221 2129 65037 877305 13,27
69 63973 0,03452 2208 62869 812267 12,70
70 61765 0,03703 2287 60621 749399 12,13
71 59477 0,03979 2367 58294 688778 11,58
72 57111 0,04283 2446 55888 630484 11,04
73 54665 0,04619 2525 53402 574596 10,51
74 52140 0,04991 2602 50838 521194 10,00
75 49537 0,05402 2676 48199 470355 9,49
76 46861 0,05856 2744 45489 422156 9,01
77 44117 0,06356 2804 42715 376667 8,54
78 41313 0,06905 2853 39886 333952 8,08
79 38460 0,07505 2886 37017 294066 7,65
80 35573 0,08157 2902 34123 257049 7,23
81 32672 0,08864 2896 31224 222927 6,82
82 29776 0,09626 2866 28342 191703 6,44
83 26909 0,10446 2811 25504 163361 6,07
84 24098 0,11325 2729 22734 137857 5,72
85 21369 0,12266 2621 20059 115123 5,39
86 18748 0,13271 2488 17504 95065 5,07
87 16260 0,14342 2332 15094 77561 4,77
88 13928 0,15484 2157 12850 62467 4,49
89 11771 0,16700 1966 10788 49617 4,22
90 9805 0,17988 1764 8924 38829 3,96
91 8042 0,19364 1557 7263 29905 3,72
92 6484 0,20817 1350 5810 22642 3,49
93 5135 0,22347 1147 4561 16833 3,28
94 3987 0,23953 955 3510 12272 3,08
95 3032 0,25635 777 2644 8762 2,89
96 2255 0,27392 618 1946 6119 2,71
97 1637 0,29221 478 1398 4173 2,55
98 1159 0,31120 361 979 2775 2,39
99 798 0,33086 264 666 1796 2,25
100 534 0,35116 188 440 1130 2,12
