"","V1","V2"
"1","Lubawka","obszar wiejski"
"2","Marciszów","-"
"3","Duszniki-Zdrój","-"
"4","Kłodzko","gm. miejska"
"5","Lądek-Zdrój","obszar wiejski"
"6","Lewin Kłodzki","-"
"7","Międzylesie","miasto"
"8","Międzylesie","obszar wiejski"
"9","Nowa Ruda","-"
"10","Radków","miasto"
"11","Radków","obszar wiejski"
"12","Stronie Śląskie","miasto"
"13","Stronie Śląskie","obszar wiejski"
"14","Kudowa-Zdrój","-"
"15","Nowa Ruda","gm. miejska"
"16","Polanica-Zdrój","-"
"17","Bystrzyca Kłodzka","miasto"
"18","Bystrzyca Kłodzka","obszar wiejski"
"19","Kłodzko","-"
"20","Lądek-Zdrój","miasto"
"21","Rudna","-"
"22","Ścinawa","miasto"
"23","Strzelin","miasto"
"24","Strzelin","obszar wiejski"
"25","Wiązów","miasto"
"26","Nowogrodziec","obszar wiejski"
"27","Dzierżoniów","gm. miejska"
"28","Pieszyce","-"
"29","Piława Górna","-"
"30","Osiecznica","-"
"31","Warta Bolesławiecka","-"
"32","Bielawa","-"
"33","Szczytna","miasto"
"34","Szczytna","obszar wiejski"
"35","Chojnów","gm. miejska"
"36","Chojnów","-"
"37","Krotoszyce","-"
"38","Kunice","-"
"39","Legnickie Pole","-"
"40","Miłkowice","-"
"41","Prochowice","miasto"
"42","Prochowice","obszar wiejski"
"43","Ruja","-"
"44","Lubań","gm. miejska"
"45","Leśna","miasto"
"46","Leśna","obszar wiejski"
"47","Lubań","-"
"48","Platerówka","-"
"49","Siekierczyn","-"
"50","Lubin","gm. miejska"
"51","Lubin","-"
"52","Paszowice","-"
"53","Wądroże Wielkie","-"
"54","Karpacz","-"
"55","Dzierżoniów","-"
"56","Łagiewniki","-"
"57","Niemcza","miasto"
"58","Niemcza","obszar wiejski"
"59","Głogów","-"
"60","Głogów","-"
"61","Jerzmanowa","-"
"62","Kotla","-"
"63","Pęcław","-"
"64","Żukowice","-"
"65","Góra","miasto"
"66","Góra","obszar wiejski"
"67","Jemielno","-"
"68","Niechlów","-"
"69","Wąsosz","miasto"
"70","Wąsosz","obszar wiejski"
"71","Jawor","-"
"72","Bolków","miasto"
"73","Bolków","obszar wiejski"
"74","Męcinka","-"
"75","Mściwojów","-"
"76","Środa Śląska","obszar wiejski"
"77","Udanin","-"
"78","Świdnica","gm. miejska"
"79","Świebodzice","-"
"80","Strzegom","miasto"
"81","Strzegom","obszar wiejski"
"82","Dobromierz","-"
"83","Jaworzyna Śląska","miasto"
"84","Jaworzyna Śląska","obszar wiejski"
"85","Marcinowice","-"
"86","Kowary","-"
"87","Piechowice","-"
"88","Szklarska Poręba","-"
"89","Janowice Wielkie","-"
"90","Jeżów Sudecki","-"
"91","Mysłakowice","-"
"92","Podgórzyn","-"
"93","Stara Kamienica","-"
"94","Kamienna Góra","gm. miejska"
"95","Kamienna Góra","-"
"96","Lubawka","miasto"
"97","Wiązów","obszar wiejski"
"98","Kostomłoty","-"
"99","Malczyce","-"
"100","Miękinia","-"
"101","Środa Śląska","miasto"
"102","Ścinawa","obszar wiejski"
"103","Gryfów Śląski","miasto"
"104","Gryfów Śląski","obszar wiejski"
"105","Lubomierz","miasto"
"106","Świeradów-Zdrój","-"
"107","Świdnica","-"
"108","Żarów","miasto"
"109","Żarów","obszar wiejski"
"110","Oborniki Śląskie","miasto"
"111","Oborniki Śląskie","obszar wiejski"
"112","Prusice","miasto"
"113","Prusice","obszar wiejski"
"114","Trzebnica","miasto"
"115","Trzebnica","obszar wiejski"
"116","Wisznia Mała","-"
"117","Zawonia","-"
"118","Żmigród","miasto"
"119","Żmigród","obszar wiejski"
"120","Boguszów-Gorce","-"
"121","Jedlina-Zdrój","-"
"122","Szczawno-Zdrój","-"
"123","Czarny Bór","-"
"124","Głuszyca","miasto"
"125","Głuszyca","obszar wiejski"
"126","Mieroszów","miasto"
"127","Mieroszów","obszar wiejski"
"128","Stare Bogaczowice","-"
"129","Walim","-"
"130","Lubomierz","obszar wiejski"
"131","Lwówek Śląski","miasto"
"132","Oława","gm. miejska"
"133","Jelcz-Laskowice","miasto"
"134","Oława","-"
"135","Domaniów","-"
"136","Jelcz-Laskowice","obszar wiejski"
"137","Chocianów","miasto"
