Wojewodztwo,Powiat,Gminy,Symbol terytorialny,Ogolem,Miasto,Wies
Wojewodztwo Dolnośląskie,Powiat bolesławiecki,M.Bolesławiec,0201011,40209,40209,0
Wojewodztwo Dolnośląskie,Powiat bolesławiecki,G.Bolesławiec,0201022,13594,0,13594
Wojewodztwo Dolnośląskie,Powiat bolesławiecki,G.Gromadka,0201032,5523,0,5523
Wojewodztwo Dolnośląskie,Powiat bolesławiecki,M-W.Nowogrodziec,0201043,15232,4221,11011
Wojewodztwo Dolnośląskie,Powiat bolesławiecki,G.Osiecznica,0201052,7585,0,7585
Wojewodztwo Dolnośląskie,Powiat bolesławiecki,G.Warta Bolesławiecka,0201062,8327,0,8327
Wojewodztwo Dolnośląskie,Powiat dzierżoniowski,M.Bielawa,0202011,31699,31699,0
Wojewodztwo Dolnośląskie,Powiat dzierżoniowski,M.Dzierżoniów,0202021,34952,34952,0
Wojewodztwo Dolnośląskie,Powiat dzierżoniowski,M.Pieszyce,0202031,9689,9689,0
Wojewodztwo Dolnośląskie,Powiat dzierżoniowski,M.Piława Górna,0202041,6805,6805,0
Wojewodztwo Dolnośląskie,Powiat dzierżoniowski,G.Dzierżoniów,0202052,9396,0,9396
Wojewodztwo Dolnośląskie,Powiat dzierżoniowski,G.Łagiewniki,0202062,7592,0,7592
Wojewodztwo Dolnośląskie,Powiat dzierżoniowski,M-W.Niemcza,0202073,5886,3145,2741
Wojewodztwo Dolnośląskie,Powiat głogowski,M.Głogów,0203011,69608,69608,0
Wojewodztwo Dolnośląskie,Powiat głogowski,G.Głogów,0203022,6223,0,6223
Wojewodztwo Dolnośląskie,Powiat głogowski,G.Jerzmanowa,0203032,4185,0,4185
Wojewodztwo Dolnośląskie,Powiat głogowski,G.Kotla,0203042,4315,0,4315
Wojewodztwo Dolnośląskie,Powiat głogowski,G.Pęcław,0203052,2363,0,2363
Wojewodztwo Dolnośląskie,Powiat głogowski,G.Żukowice,0203062,3619,0,3619
Wojewodztwo Dolnośląskie,Powiat górowski,M-W.Góra,0204013,20963,12575,8388
Wojewodztwo Dolnośląskie,Powiat górowski,G.Jemielno,0204022,3174,0,3174
Wojewodztwo Dolnośląskie,Powiat górowski,G.Niechlów,0204032,5182,0,5182
Wojewodztwo Dolnośląskie,Powiat górowski,M-W.Wąsosz,0204043,7498,2797,4701
