"idx","wojewodztwo"
"1","dolnośląskie"
"2","dolnośląskie"
"3","dolnośląskie"
"4","dolnośląskie"
"5","dolnośląskie"
"6","dolnośląskie"
"7","dolnośląskie"
"8","dolnośląskie"
"9","dolnośląskie"
"10","dolnośląskie"
"11","dolnośląskie"
"12","dolnośląskie"
"13","dolnośląskie"
"14","dolnośląskie"
"15","dolnośląskie"
"16","dolnośląskie"
"17","dolnośląskie"
"18","dolnośląskie"
"19","dolnośląskie"
"20","dolnośląskie"
"21","dolnośląskie"
"22","dolnośląskie"
"23","dolnośląskie"
"24","dolnośląskie"
"25","dolnośląskie"
"26","dolnośląskie"
"27","dolnośląskie"
"28","dolnośląskie"
"29","dolnośląskie"
"30","dolnośląskie"
"31","dolnośląskie"
"32","dolnośląskie"
"33","dolnośląskie"
"34","dolnośląskie"
"35","dolnośląskie"
"36","dolnośląskie"
"37","dolnośląskie"
"38","dolnośląskie"
"39","dolnośląskie"
"40","dolnośląskie"
"41","dolnośląskie"
"42","dolnośląskie"
"43","dolnośląskie"
"44","dolnośląskie"
"45","dolnośląskie"
"46","dolnośląskie"
"47","dolnośląskie"
"48","dolnośląskie"
"49","dolnośląskie"
"50","dolnośląskie"
"51","dolnośląskie"
"52","dolnośląskie"
"53","dolnośląskie"
"54","dolnośląskie"
"55","dolnośląskie"
"56","dolnośląskie"
"57","dolnośląskie"
"58","dolnośląskie"
"59","dolnośląskie"
"60","dolnośląskie"
"61","dolnośląskie"
"62","dolnośląskie"
"63","dolnośląskie"
"64","dolnośląskie"
"65","dolnośląskie"
"66","dolnośląskie"
"67","dolnośląskie"
"68","dolnośląskie"
"69","dolnośląskie"
"70","dolnośląskie"
"71","dolnośląskie"
"72","dolnośląskie"
"73","dolnośląskie"
"74","dolnośląskie"
"75","dolnośląskie"
"76","dolnośląskie"
"77","dolnośląskie"
"78","dolnośląskie"
"79","dolnośląskie"
"80","dolnośląskie"
"81","dolnośląskie"
"82","dolnośląskie"
"83","dolnośląskie"
"84","dolnośląskie"
"85","dolnośląskie"
"86","dolnośląskie"
"87","dolnośląskie"
"88","dolnośląskie"
"89","dolnośląskie"
"90","dolnośląskie"
"91","dolnośląskie"
"92","dolnośląskie"
"93","dolnośląskie"
"94","dolnośląskie"
"95","dolnośląskie"
"96","dolnośląskie"
"97","dolnośląskie"
"98","dolnośląskie"
"99","dolnośląskie"
"100","dolnośląskie"
"101","dolnośląskie"
"102","dolnośląskie"
"103","dolnośląskie"
"104","dolnośląskie"
"105","dolnośląskie"
"106","dolnośląskie"
"107","dolnośląskie"
"108","dolnośląskie"
"109","dolnośląskie"
"110","dolnośląskie"
"111","dolnośląskie"
"112","dolnośląskie"
"113","dolnośląskie"
"114","dolnośląskie"
"115","dolnośląskie"
"116","dolnośląskie"
"117","dolnośląskie"
"118","dolnośląskie"
"119","dolnośląskie"
"120","dolnośląskie"
"121","dolnośląskie"
"122","dolnośląskie"
"123","dolnośląskie"
"124","dolnośląskie"
"125","dolnośląskie"
"126","dolnośląskie"
"127","dolnośląskie"
"128","dolnośląskie"
"129","dolnośląskie"
"130","dolnośląskie"
"131","dolnośląskie"
"132","dolnośląskie"
"133","dolnośląskie"
"134","dolnośląskie"
