"ID" "Osiagniecia.naukowe.i.tworcze" "Potencjal.naukowy" "Materialne.efekty.dzialalnosci.naukowej" "Pozostale.efekty.dzialalnosci.naukowej" "Ocena.ostateczna" "Kategoria" "nazwy"
"Politechnika Gdanska; Wydzial Inzynierii Ladowej i Srodowiska" 951 40.62 402 8.63 100 75.79 "A" "Politechnika Gdanska; Wydzial Inzynierii Ladowej i Srodowiska"
"Politechnika Wroclawska; Wydzial Inzynierii Srodowiska" 556 43.38 296 4.84 100 70.27 "A" "Politechnika Wroclawska; Wydzial Inzynierii Srodowiska"
"Politechnika Lubelska; Wydzial Budownictwa i Architektury" 267 42.71 121 12.47 50 58.69 "A" "Politechnika Lubelska; Wydzial Budownictwa i Architektury"
"Politechnika Lódzka; Wydzial Budownictwa. Architektury i Inzynierii Srodowiska" 590 35.41 343 23.61 50 54.06 "A" "Politechnika Lódzka; Wydzial Budownictwa. Architektury i Inzynierii Srodowiska"
"Politechnika Wroclawska; Wydzial Architektury" 330 33.95 344 5.56 70 44.25 "A" "Politechnika Wroclawska; Wydzial Architektury"
"Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Budownictwa i Inzynierii Srodowiska" 625 32.9 285 12.25 50 39.46 "A" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Budownictwa i Inzynierii Srodowiska"
"Politechnika Opolska; Wydzial Budownictwa" 763 38.65 208 2.89 50 37.18 "A" "Politechnika Opolska; Wydzial Budownictwa"
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial Budownictwa i Architektury" 401 36.72 255 2.49 50 33.92 "A" "Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial Budownictwa i Architektury"
"Politechnika Warszawska; Wydzial Architektury" 806 32.11 247 5.58 80 33.4 "A" "Politechnika Warszawska; Wydzial Architektury"
"Politechnika Poznanska; Wydzial Architektury" 773 35.06 199 0.66 70 25.9 "A" "Politechnika Poznanska; Wydzial Architektury"
"Politechnika Krakowska im. Tadeusza Kosciuszki; Wydzial Architektury" 831 31.39 391 0.8 80 24.67 "B" "Politechnika Krakowska im. Tadeusza Kosciuszki; Wydzial Architektury"
"Politechnika Koszalinska; Wydzial Inzynierii Ladowej. Srodowiska i Geodezji" 520 33.04 226 1.61 40 14.59 "B" "Politechnika Koszalinska; Wydzial Inzynierii Ladowej. Srodowiska i Geodezji"
"Politechnika Gdanska; Wydzial Architektury" 731 34.2 167 0.29 50 13.64 "B" "Politechnika Gdanska; Wydzial Architektury"
"Politechnika Warszawska; Wydzial Inzynierii Srodowiska" 920 29.2 239 4.25 70 12.58 "B" "Politechnika Warszawska; Wydzial Inzynierii Srodowiska"
"Politechnika Bialostocka; Wydzial Budownictwa i Inzynierii Srodowiska" 161 31.31 275 1.23 50 11.9 "B" "Politechnika Bialostocka; Wydzial Budownictwa i Inzynierii Srodowiska"
"Politechnika Poznanska; Wydzial Budownictwa i Inzynierii Srodowiska" 324 27.26 392 5.01 60 5.55 "B" "Politechnika Poznanska; Wydzial Budownictwa i Inzynierii Srodowiska"
"Politechnika Swietokrzyska w Kielcach; Wydzial Budownictwa i Architektury" 743 28 139 41.37 40 3.93 "B" "Politechnika Swietokrzyska w Kielcach; Wydzial Budownictwa i Architektury"
"Politechnika Rzeszowska im. Ignacego Lukasiewicza; Wydzial Budownictwa i Inzynierii Srodowiska" 203 25.62 254 10.08 60 -1.32 "B" "Politechnika Rzeszowska im. Ignacego Lukasiewicza; Wydzial Budownictwa i Inzynierii Srodowiska"
"Politechnika Wroclawska; Wydzial Budownictwa Ladowego i Wodnego" 703 23.4 311 7.77 100 -1.69 "B" "Politechnika Wroclawska; Wydzial Budownictwa Ladowego i Wodnego"
"Politechnika Krakowska im. Tadeusza Kosciuszki; Wydzial Inzynierii Srodowiska" 184 26.41 255 4.19 75 -3.31 "B" "Politechnika Krakowska im. Tadeusza Kosciuszki; Wydzial Inzynierii Srodowiska"
"Uniwersytet Zielonogórski; Wydzial Inzynierii Ladowej i Srodowiska" 861 25.03 275 7.79 40 -11.12 "B" "Uniwersytet Zielonogórski; Wydzial Inzynierii Ladowej i Srodowiska"
"Politechnika Warszawska; Wydzial Inzynierii Ladowej" 74 22.54 273 4.07 100 -14.07 "B" "Politechnika Warszawska; Wydzial Inzynierii Ladowej"
"Politechnika Slaska; Wydzial Budownictwa" 526 23.59 210 5.7 50 -22.92 "B" "Politechnika Slaska; Wydzial Budownictwa"
"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jedrzeja Sniadeckich w  Bydgoszczy; Wydzial Budownictwa. Architektury i Inzynierii Srodowiska" 391 23.26 196 7.15 40 -23.31 "B" "Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jedrzeja Sniadeckich w  Bydgoszczy; Wydzial Budownictwa. Architektury i Inzynierii Srodowiska"
"Politechnika Krakowska im. Tadeusza Kosciuszki; Wydzial Inzynierii Ladowej" 935 18.55 410 2.12 90 -30.03 "B" "Politechnika Krakowska im. Tadeusza Kosciuszki; Wydzial Inzynierii Ladowej"
"Politechnika Warszawska; Wydzial Budownictwa. Mechaniki i Petrochemii" 518 24.13 141 1.93 20 -40.97 "B" "Politechnika Warszawska; Wydzial Budownictwa. Mechaniki i Petrochemii"
"Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie; Wydzial  Architektury i Sztuk Pieknych" 429 17.77 25 14.51 40 -44.79 "B" "Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie; Wydzial  Architektury i Sztuk Pieknych"
"Politechnika Bialostocka; Wydzial Architektury" 370 23.1 92 0.16 45 -45.2 "B" "Politechnika Bialostocka; Wydzial Architektury"
"Politechnika Czestochowska; Wydzial Budownictwa" 115 23.22 46 0.34 50 -45.54 "B" "Politechnika Czestochowska; Wydzial Budownictwa"
"Politechnika Slaska; Wydzial Architektury" 433 19.56 115 0.69 60 -51.87 "B" "Politechnika Slaska; Wydzial Architektury"
"Wyzsza Szkola Techniczna w Katowicach; Wydzial Architektury. Budownictwa i Sztuk Stosowanych" 760 5.49 29 0 10 -93.05 "C" "Wyzsza Szkola Techniczna w Katowicach; Wydzial Architektury. Budownictwa i Sztuk Stosowanych"
"Wyzsza Szkola Ekologii i Zarzadzania w Warszawie; Wydzial Architektury" 266 5.01 35 0 0 -93.43 "C" "Wyzsza Szkola Ekologii i Zarzadzania w Warszawie; Wydzial Architektury"
"Uniwersytet Warszawski; Wydzial Chemii" 180 109.95 381 14.13 100 50.74 "+A" "Uniwersytet Warszawski; Wydzial Chemii"
"Uniwersytet Warszawski; Centrum Nowych Technologii UW" 683 109.57 39 67.17 70 48.09 "+A" "Uniwersytet Warszawski; Centrum Nowych Technologii UW"
"Uniwersytet Jagiellonski w Krakowie; Wydzial Chemii" 389 101.95 472 16.6 73 43.12 "+A" "Uniwersytet Jagiellonski w Krakowie; Wydzial Chemii"
"Uniwersytet Warszawski; Interdyscyplinarne Centrum Modelowania  Matematycznego i Komputerowego" 351 102.46 40 120.13 78 41.11 "A" "Uniwersytet Warszawski; Interdyscyplinarne Centrum Modelowania  Matematycznego i Komputerowego"
"Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydzial Chemii" 673 93.05 397 29.55 67 36.86 "A" "Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydzial Chemii"
"Politechnika Poznanska; Wydzial Technologii Chemicznej" 175 93.08 343 18.43 89 34.34 "A" "Politechnika Poznanska; Wydzial Technologii Chemicznej"
"Politechnika Warszawska; Wydzial Chemiczny" 652 93.95 637 13.98 72 33.44 "A" "Politechnika Warszawska; Wydzial Chemiczny"
"Politechnika Gdanska; Wydzial Chemiczny" 157 95.93 741 10.83 65 30.23 "A" "Politechnika Gdanska; Wydzial Chemiczny"
"Uniwersytet Wroclawski; Wydzial Chemii" 851 104.24 370 10.95 60 29.56 "A" "Uniwersytet Wroclawski; Wydzial Chemii"
"Politechnika Wroclawska; Wydzial Chemiczny" 457 91.05 824 10.63 65 24.39 "A" "Politechnika Wroclawska; Wydzial Chemiczny"
"Uniwersytet Mikolaja Kopernika w Toruniu; Wydzial Chemii" 922 97.1 335 9.43 71 21.64 "A" "Uniwersytet Mikolaja Kopernika w Toruniu; Wydzial Chemii"
"Uniwersytet Marii Curie-Sklodowskiej w Lublinie; Wydzial Chemii" 418 90.41 329 19.33 37 16.04 "A" "Uniwersytet Marii Curie-Sklodowskiej w Lublinie; Wydzial Chemii"
"Politechnika Lódzka; Wydzial Chemiczny" 603 88.87 524 12.05 52 14.72 "A" "Politechnika Lódzka; Wydzial Chemiczny"
"Uniwersytet Gdanski; Wydzial Chemii" 224 90.23 399 8.75 49 7.56 "A" "Uniwersytet Gdanski; Wydzial Chemii"
"Politechnika Slaska; Wydzial Chemiczny" 614 80.31 505 5.91 49 -12.69 "A" "Politechnika Slaska; Wydzial Chemiczny"
"Uniwersytet Lódzki; Wydzial Chemii" 564 81.04 303 2.72 34 -24.91 "A" "Uniwersytet Lódzki; Wydzial Chemii"
"Uniwersytet Opolski; Wydzial Chemii" 40 75.64 87 16.63 31 -25.08 "A" "Uniwersytet Opolski; Wydzial Chemii"
"Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydzial Nauk Scislych" 754 62.52 173 0.12 42 -58.24 "B" "Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydzial Nauk Scislych"
"Politechnika Lódzka; Instytut Papiernictwa i Poligrafii" 212 44.19 45 6.38 57.5 -66.34 "B" "Politechnika Lódzka; Instytut Papiernictwa i Poligrafii"
"Szkola Glówna Sluzby Pozarniczej; Wydzial Inzynierii Bezpieczenstwa Pozarowego" 874 23.53 69 18.94 13 -68.77 "B" "Szkola Glówna Sluzby Pozarniczej; Wydzial Inzynierii Bezpieczenstwa Pozarowego"
"Szkola Glówna Sluzby Pozarniczej; Wydzial Inzynierii Bezpieczenstwa Cywilnego" 47 17.7 28 17.26 0 -72.56 "B" "Szkola Glówna Sluzby Pozarniczej; Wydzial Inzynierii Bezpieczenstwa Cywilnego"
"Politechnika Wroclawska; Wydzial Elektroniki Mikrosystemów i Fotoniki" 145 80.24 287 16.04 45 79.28 "+A" "Politechnika Wroclawska; Wydzial Elektroniki Mikrosystemów i Fotoniki"
"Politechnika Gdanska; Wydzial Elektroniki. Telekomunikacji i Informatyki" 735 53.89 495 13.78 92.5 67.35 "A" "Politechnika Gdanska; Wydzial Elektroniki. Telekomunikacji i Informatyki"
"Politechnika Wroclawska; Wydzial Elektroniki" 953 54.43 631 14.27 70 67.2 "A" "Politechnika Wroclawska; Wydzial Elektroniki"
"Politechnika Warszawska; Wydzial Elektroniki i Technik Informacyjnych" 120 52.27 856 18.97 64 67.15 "A" "Politechnika Warszawska; Wydzial Elektroniki i Technik Informacyjnych"
"Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial  Informatyki. Elektroniki i Telekomunikacji" 901 51.97 525 12.64 84.5 63.58 "A" "Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial  Informatyki. Elektroniki i Telekomunikacji"
"Wojskowa Akademia Techniczna im. Jaroslawa Dabrowskiego; Instytut  Optoelektroniki" 253 56.11 114 22.35 51 56.7 "A" "Wojskowa Akademia Techniczna im. Jaroslawa Dabrowskiego; Instytut  Optoelektroniki"
"Politechnika Wroclawska; Wydzial Elektryczny" 97 53.68 248 10.2 81.5 56.13 "A" "Politechnika Wroclawska; Wydzial Elektryczny"
"Politechnika Poznanska; Wydzial Elektroniki i Telekomunikacji" 721 52.6 202 9.98 60 49.25 "A" "Politechnika Poznanska; Wydzial Elektroniki i Telekomunikacji"
"Politechnika Poznanska; Wydzial Informatyki" 759 46.72 274 14.63 77.5 46.73 "A" "Politechnika Poznanska; Wydzial Informatyki"
"Politechnika Czestochowska; Wydzial Elektryczny" 489 84.07 127 1.02 20 42.89 "A" "Politechnika Czestochowska; Wydzial Elektryczny"
"Polsko-Japonska Wyzsza Szkola Technik Komputerowych; Wydzial Informatyki" 63 48.12 253 17.65 25.5 40.18 "A" "Polsko-Japonska Wyzsza Szkola Technik Komputerowych; Wydzial Informatyki"
"Politechnika Lubelska; Wydzial Elektrotechniki i Informatyki" 48 54.11 244 4.74 27.5 35.83 "A" "Politechnika Lubelska; Wydzial Elektrotechniki i Informatyki"
"Politechnika Warszawska; Wydzial Elektryczny" 913 46.85 345 4.37 68 34.89 "A" "Politechnika Warszawska; Wydzial Elektryczny"
"Politechnika Lódzka; Wydzial Elektrotechniki. Elektroniki. Informatyki i Automatyki" 680 44.98 767 6.23 52.5 34.74 "A" "Politechnika Lódzka; Wydzial Elektrotechniki. Elektroniki. Informatyki i Automatyki"
"Politechnika Slaska; Wydzial Automatyki. Elektroniki i Informatyki" 834 43.26 634 6.2 65 29.79 "A" "Politechnika Slaska; Wydzial Automatyki. Elektroniki i Informatyki"
"Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial  Elektrotechniki. Automatyki. Informatyki i Inzynierii Biomedycznej" 764 41.11 583 4.22 88 19.87 "B" "Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial  Elektrotechniki. Automatyki. Informatyki i Inzynierii Biomedycznej"
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial  Elektryczny" 768 44.97 339 3.21 40 19.59 "B" "Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial  Elektryczny"
"Politechnika Bialostocka; Wydzial Elektryczny" 588 46.39 259 2.91 22.5 15.39 "B" "Politechnika Bialostocka; Wydzial Elektryczny"
"Wojskowa Akademia Techniczna im. Jaroslawa Dabrowskiego; Wydzial  Elektroniki" 966 37.29 337 13.4 50 12.41 "B" "Wojskowa Akademia Techniczna im. Jaroslawa Dabrowskiego; Wydzial  Elektroniki"
"Politechnika Opolska; Wydzial Elektrotechniki. Automatyki i Informatyki" 813 39.31 350 14.54 25.5 11.79 "B" "Politechnika Opolska; Wydzial Elektrotechniki. Automatyki i Informatyki"
"Politechnika Koszalinska; Wydzial Elektroniki i Informatyki" 604 48.28 95 2.8 10 11.29 "B" "Politechnika Koszalinska; Wydzial Elektroniki i Informatyki"
"Politechnika Wroclawska; Wydzial Informatyki i Zarzadzania" 904 39 365 5.41 72 11.27 "B" "Politechnika Wroclawska; Wydzial Informatyki i Zarzadzania"
"Politechnika Bialostocka; Wydzial Informatyki" 358 46.69 132 0.56 39.5 10.11 "B" "Politechnika Bialostocka; Wydzial Informatyki"
"Politechnika Slaska; Wydzial Elektryczny" 643 37.84 368 5.13 37.5 0.05 "B" "Politechnika Slaska; Wydzial Elektryczny"
"Uniwersytet Zielonogórski; Wydzial Elektrotechniki. Informatyki i Telekomunikacji" 191 38.58 272 3.61 46 -3.1 "B" "Uniwersytet Zielonogórski; Wydzial Elektrotechniki. Informatyki i Telekomunikacji"
"Akademia Morska w Gdyni; Wydzial Elektryczny" 421 42.88 159 3.07 7.5 -4.83 "B" "Akademia Morska w Gdyni; Wydzial Elektryczny"
"Politechnika Gdanska; Wydzial Elektrotechniki i Automatyki" 197 33.79 246 7.21 60 -5.35 "B" "Politechnika Gdanska; Wydzial Elektrotechniki i Automatyki"
"Politechnika Poznanska; Wydzial Elektryczny" 612 35.94 437 2.07 56 -6.58 "B" "Politechnika Poznanska; Wydzial Elektryczny"
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial  Informatyki" 651 35.22 214 4.15 38 -14.62 "B" "Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydzial  Informatyki"
"Politechnika Swietokrzyska w Kielcach; Wydzial Elektrotechniki. Automatyki i  Informatyki" 674 38.31 188 0.74 43.5 -14.95 "B" "Politechnika Swietokrzyska w Kielcach; Wydzial Elektrotechniki. Automatyki i  Informatyki"
"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jedrzeja Sniadeckich w  Bydgoszczy; Wydzial Telekomunikacji. Informatyki i Elektrotechniki" 888 33.47 78 4.48 45 -22.76 "B" "Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jedrzeja Sniadeckich w  Bydgoszczy; Wydzial Telekomunikacji. Informatyki i Elektrotechniki"
"Wojskowa Akademia Techniczna im. Jaroslawa Dabrowskiego; Wydzial Cybernetyki" 654 25.34 226 8.98 66.5 -28.68 "B" "Wojskowa Akademia Techniczna im. Jaroslawa Dabrowskiego; Wydzial Cybernetyki"
