"Nazwa" "Osiagniecia_naukowe_i_tworcze" "Potencjal_naukowy" "Materialne_efekty_dzialalnosci_naukowej" "Pozostale_efekty_dzialalnosci_naukowej" "Ocena_ostateczna" "Kategoria" "nazwy"
"Szkola Glówna Handlowa w Warszawie; Kolegium Analiz Ekonomicznych" "Szkola Glówna Handlowa w Warszawie; Kolegium Analiz Ekonomicznych" 40.82 330 1.85 95 83.88 "+A" "Szkola Glówna Handlowa w Warszawie; Kolegium Analiz Ekonomicznych"
"Szkola Glówna Handlowa w Warszawie; Kolegium Zarzadzania i Finansów" "Szkola Glówna Handlowa w Warszawie; Kolegium Zarzadzania i Finansów" 37.52 560 0.13 90 75.39 "+A" "Szkola Glówna Handlowa w Warszawie; Kolegium Zarzadzania i Finansów"
"Uniwersytet Ekonomiczny w Poznaniu; Wydzial Towaroznawstwa" "Uniwersytet Ekonomiczny w Poznaniu; Wydzial Towaroznawstwa" 42.84 285 0.99 50 73.26 "A" "Uniwersytet Ekonomiczny w Poznaniu; Wydzial Towaroznawstwa"
"Uniwersytet Ekonomiczny w Poznaniu; Wydzial Zarzadzania" "Uniwersytet Ekonomiczny w Poznaniu; Wydzial Zarzadzania" 37.1 519 0.37 72.5 72.66 "A" "Uniwersytet Ekonomiczny w Poznaniu; Wydzial Zarzadzania"
"Uniwersytet Warszawski; Wydzial Nauk Ekonomicznych" "Uniwersytet Warszawski; Wydzial Nauk Ekonomicznych" 39.72 233 2.1 55 70.97 "A" "Uniwersytet Warszawski; Wydzial Nauk Ekonomicznych"
"Uniwersytet Ekonomiczny we Wroclawiu; Wydzial Inzynieryjno-Ekonomiczny" "Uniwersytet Ekonomiczny we Wroclawiu; Wydzial Inzynieryjno-Ekonomiczny" 44.47 171 2.64 40 68.28 "A" "Uniwersytet Ekonomiczny we Wroclawiu; Wydzial Inzynieryjno-Ekonomiczny"
"Szkola Glówna Handlowa w Warszawie; Kolegium Nauk o Przedsiebiorstwie" "Szkola Glówna Handlowa w Warszawie; Kolegium Nauk o Przedsiebiorstwie" 33.43 426 1.47 80.5 58.31 "A" "Szkola Glówna Handlowa w Warszawie; Kolegium Nauk o Przedsiebiorstwie"
"Uniwersytet Ekonomiczny w Poznaniu; Wydzial Ekonomii" "Uniwersytet Ekonomiczny w Poznaniu; Wydzial Ekonomii" 33.02 371 1.7 80 55.13 "A" "Uniwersytet Ekonomiczny w Poznaniu; Wydzial Ekonomii"
"Uniwersytet Szczecinski; Wydzial Nauk Ekonomicznych i Zarzadzania" "Uniwersytet Szczecinski; Wydzial Nauk Ekonomicznych i Zarzadzania" 32.89 426 1.17 72.5 53.73 "A" "Uniwersytet Szczecinski; Wydzial Nauk Ekonomicznych i Zarzadzania"
"Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Zastosowan Informatyki i Matematyki" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Zastosowan Informatyki i Matematyki" 38.33 78 0.15 50 50.91 "A" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Zastosowan Informatyki i Matematyki"
"Szkola Glówna Handlowa w Warszawie; Kolegium Ekonomiczno-Spoleczne" "Szkola Glówna Handlowa w Warszawie; Kolegium Ekonomiczno-Spoleczne" 33.19 244 0.58 69 47.37 "A" "Szkola Glówna Handlowa w Warszawie; Kolegium Ekonomiczno-Spoleczne"
"Uniwersytet Ekonomiczny we Wroclawiu; Wydzial Zarzadzania. Informatyki i Finansów" "Uniwersytet Ekonomiczny we Wroclawiu; Wydzial Zarzadzania. Informatyki i Finansów" 29.37 473 2.24 90 42.68 "A" "Uniwersytet Ekonomiczny we Wroclawiu; Wydzial Zarzadzania. Informatyki i Finansów"
"Uniwersytet Ekonomiczny w Katowicach; Wydzial Ekonomii" "Uniwersytet Ekonomiczny w Katowicach; Wydzial Ekonomii" 31.73 342 0.67 60 40.7 "A" "Uniwersytet Ekonomiczny w Katowicach; Wydzial Ekonomii"
"Uniwersytet Ekonomiczny w Krakowie; Wydzial Zarzadzania" "Uniwersytet Ekonomiczny w Krakowie; Wydzial Zarzadzania" 30.8 484 0.32 65 39.83 "A" "Uniwersytet Ekonomiczny w Krakowie; Wydzial Zarzadzania"
"Akademia Leona Kozminskiego w Warszawie" "Akademia Leona Kozminskiego w Warszawie" 29.52 487 0.38 82.5 38.38 "A" "Akademia Leona Kozminskiego w Warszawie"
"Szkola Glówna Handlowa w Warszawie; Kolegium Gospodarki Swiatowej" "Szkola Glówna Handlowa w Warszawie; Kolegium Gospodarki Swiatowej" 30.8 313 0.36 72.5 37.45 "A" "Szkola Glówna Handlowa w Warszawie; Kolegium Gospodarki Swiatowej"
"Uniwersytet Ekonomiczny we Wroclawiu; Wydzial Nauk Ekonomicznych" "Uniwersytet Ekonomiczny we Wroclawiu; Wydzial Nauk Ekonomicznych" 29.07 459 1.91 70 37.3 "A" "Uniwersytet Ekonomiczny we Wroclawiu; Wydzial Nauk Ekonomicznych"
"Uniwersytet Ekonomiczny w Krakowie; Wydzial Towaroznawstwa" "Uniwersytet Ekonomiczny w Krakowie; Wydzial Towaroznawstwa" 34.43 199 0.36 30 36.66 "A" "Uniwersytet Ekonomiczny w Krakowie; Wydzial Towaroznawstwa"
"Uniwersytet Warszawski; Wydzial Zarzadzania" "Uniwersytet Warszawski; Wydzial Zarzadzania" 30.78 317 0.51 65 36.6 "A" "Uniwersytet Warszawski; Wydzial Zarzadzania"
"Uniwersytet Ekonomiczny w Katowicach; Wydzial Zarzadzania" "Uniwersytet Ekonomiczny w Katowicach; Wydzial Zarzadzania" 30.41 419 0.36 62.5 36.51 "A" "Uniwersytet Ekonomiczny w Katowicach; Wydzial Zarzadzania"
"Wyzsza Szkola Biznesu w Dabrowie Górniczej; Wydzial Zarzadzania. Informatyki i Nauk Spolecznych" "Wyzsza Szkola Biznesu w Dabrowie Górniczej; Wydzial Zarzadzania. Informatyki i Nauk Spolecznych" 35.83 139 0 25 35.68 "A" "Wyzsza Szkola Biznesu w Dabrowie Górniczej; Wydzial Zarzadzania. Informatyki i Nauk Spolecznych"
"Uniwersytet Ekonomiczny we Wroclawiu; Wydzial Ekonomii. Zarzadzania i Turystyki w Jeleniej Górze" "Uniwersytet Ekonomiczny we Wroclawiu; Wydzial Ekonomii. Zarzadzania i Turystyki w Jeleniej Górze" 30.25 205 0.9 72.5 33.25 "A" "Uniwersytet Ekonomiczny we Wroclawiu; Wydzial Ekonomii. Zarzadzania i Turystyki w Jeleniej Górze"
"Uniwersytet Ekonomiczny w Poznaniu; Wydzial Informatyki i Gospodarki Elektronicznej" "Uniwersytet Ekonomiczny w Poznaniu; Wydzial Informatyki i Gospodarki Elektronicznej" 28.88 234 4.23 75 32.33 "A" "Uniwersytet Ekonomiczny w Poznaniu; Wydzial Informatyki i Gospodarki Elektronicznej"
"Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial Zarzadzania" "Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial Zarzadzania" 30.24 208 2.22 60 32.26 "A" "Akademia Górniczo-Hutnicza im. Stanislawa Staszica w Krakowie; Wydzial Zarzadzania"
"Uniwersytet Ekonomiczny w Krakowie; Wydzial Ekonomii i Stosunków Miedzynarodowych" "Uniwersytet Ekonomiczny w Krakowie; Wydzial Ekonomii i Stosunków Miedzynarodowych" 28.9 426 2.44 55 32.21 "A" "Uniwersytet Ekonomiczny w Krakowie; Wydzial Ekonomii i Stosunków Miedzynarodowych"
"Uniwersytet Ekonomiczny w Krakowie; Wydzial Finansów" "Uniwersytet Ekonomiczny w Krakowie; Wydzial Finansów" 31.66 266 0.08 55 32.09 "A" "Uniwersytet Ekonomiczny w Krakowie; Wydzial Finansów"
"Wyzsza Szkola Finansów i Zarzadzania w Warszawie; Wydzial Zarzadzania i Finansów" "Wyzsza Szkola Finansów i Zarzadzania w Warszawie; Wydzial Zarzadzania i Finansów" 36.52 81 0.07 20 31.97 "A" "Wyzsza Szkola Finansów i Zarzadzania w Warszawie; Wydzial Zarzadzania i Finansów"
"Uniwersytet Lódzki; Wydzial Ekonomiczno-Socjologiczny" "Uniwersytet Lódzki; Wydzial Ekonomiczno-Socjologiczny" 26.81 562 0.77 95 30.88 "A" "Uniwersytet Lódzki; Wydzial Ekonomiczno-Socjologiczny"
"Spoleczna Akademia Nauk z siedziba w Lodzi; Wydzial Zarzadzania" "Spoleczna Akademia Nauk z siedziba w Lodzi; Wydzial Zarzadzania" 33.73 99 1.77 29.5 30.22 "A" "Spoleczna Akademia Nauk z siedziba w Lodzi; Wydzial Zarzadzania"
"Uniwersytet Lódzki; Wydzial Zarzadzania" "Uniwersytet Lódzki; Wydzial Zarzadzania" 27.87 336 0.84 77.5 28.74 "A" "Uniwersytet Lódzki; Wydzial Zarzadzania"
"Wyzsza Szkola Biznesu - National Louis University z siedziba w Nowym Saczu; Wydzial Nauk Spolecznych i Informatyki" "Wyzsza Szkola Biznesu - National Louis University z siedziba w Nowym Saczu; Wydzial Nauk Spolecznych i Informatyki" 33.94 42 2.66 35 27.46 "B" "Wyzsza Szkola Biznesu - National Louis University z siedziba w Nowym Saczu; Wydzial Nauk Spolecznych i Informatyki"
"Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Nauk Ekonomicznych" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Nauk Ekonomicznych" 30.33 137 2.31 45.5 24.43 "B" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Nauk Ekonomicznych"
"Uniwersytet Szczecinski; Wydzial Zarzadzania i Ekonomiki Uslug" "Uniwersytet Szczecinski; Wydzial Zarzadzania i Ekonomiki Uslug" 27.98 268 0.63 65 23.7 "B" "Uniwersytet Szczecinski; Wydzial Zarzadzania i Ekonomiki Uslug"
"Politechnika Czestochowska; Wydzial Zarzadzania" "Politechnika Czestochowska; Wydzial Zarzadzania" 29.5 415 0.31 34.5 21.57 "B" "Politechnika Czestochowska; Wydzial Zarzadzania"
"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pulaskiego w Radomiu; Wydzial Ekonomiczny" "Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pulaskiego w Radomiu; Wydzial Ekonomiczny" 33.28 115 0 25 20.87 "B" "Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pulaskiego w Radomiu; Wydzial Ekonomiczny"
"Uniwersytet Ekonomiczny w Poznaniu; Wydzial Gospodarki Miedzynarodowej" "Uniwersytet Ekonomiczny w Poznaniu; Wydzial Gospodarki Miedzynarodowej" 28.62 256 0.36 52.5 20.62 "B" "Uniwersytet Ekonomiczny w Poznaniu; Wydzial Gospodarki Miedzynarodowej"
"Uniwersytet Przyrodniczy w Poznaniu; Wydzial Ekonomiczno-Spoleczny" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Ekonomiczno-Spoleczny" 29.51 100 0.1 65 18.01 "B" "Uniwersytet Przyrodniczy w Poznaniu; Wydzial Ekonomiczno-Spoleczny"
"Uniwersytet Mikolaja Kopernika w Toruniu; Wydzial Nauk Ekonomicznych i Zarzadzania" "Uniwersytet Mikolaja Kopernika w Toruniu; Wydzial Nauk Ekonomicznych i Zarzadzania" 25.14 418 0.97 80 17.54 "B" "Uniwersytet Mikolaja Kopernika w Toruniu; Wydzial Nauk Ekonomicznych i Zarzadzania"
"Uniwersytet Ekonomiczny w Katowicach; Wydzial Finansów i Ubezpieczen" "Uniwersytet Ekonomiczny w Katowicach; Wydzial Finansów i Ubezpieczen" 27.43 270 0.25 52.5 14.9 "B" "Uniwersytet Ekonomiczny w Katowicach; Wydzial Finansów i Ubezpieczen"
"Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Nauk Ekonomicznych" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Nauk Ekonomicznych" 26.51 383 0.61 47.5 14.88 "B" "Szkola Glówna Gospodarstwa Wiejskiego w Warszawie; Wydzial Nauk Ekonomicznych"
"Politechnika Lódzka; Wydzial Organizacji i Zarzadzania" "Politechnika Lódzka; Wydzial Organizacji i Zarzadzania" 30.8 135 0.58 25 13.94 "B" "Politechnika Lódzka; Wydzial Organizacji i Zarzadzania"
"Uniwersytet Ekonomiczny w Katowicach; Wydzial Informatyki i Komunikacji" "Uniwersytet Ekonomiczny w Katowicach; Wydzial Informatyki i Komunikacji" 28.84 106 0.91 45 13.3 "B" "Uniwersytet Ekonomiczny w Katowicach; Wydzial Informatyki i Komunikacji"
"Uniwersytet Gdanski; Wydzial Zarzadzania" "Uniwersytet Gdanski; Wydzial Zarzadzania" 25.22 418 0.04 70 11.45 "B" "Uniwersytet Gdanski; Wydzial Zarzadzania"
"Politechnika Gdanska; Wydzial Zarzadzania i Ekonomii" "Politechnika Gdanska; Wydzial Zarzadzania i Ekonomii" 27.45 199 0.23 50 11.18 "B" "Politechnika Gdanska; Wydzial Zarzadzania i Ekonomii"
"Uniwersytet Gdanski; Wydzial Ekonomiczny" "Uniwersytet Gdanski; Wydzial Ekonomiczny" 24.75 249 1.46 80 10.65 "B" "Uniwersytet Gdanski; Wydzial Ekonomiczny"
"Politechnika Slaska; Wydzial Organizacji i Zarzadzania" "Politechnika Slaska; Wydzial Organizacji i Zarzadzania" 26.62 171 2.46 45 9.82 "B" "Politechnika Slaska; Wydzial Organizacji i Zarzadzania"
"Uniwersytet Zielonogórski; Wydzial Ekonomii i Zarzadzania" "Uniwersytet Zielonogórski; Wydzial Ekonomii i Zarzadzania" 27.73 85 0.58 55 9.23 "B" "Uniwersytet Zielonogórski; Wydzial Ekonomii i Zarzadzania"
"Akademia Morska w Gdyni; Wydzial Przedsiebiorczosci i Towaroznawstwa" "Akademia Morska w Gdyni; Wydzial Przedsiebiorczosci i Towaroznawstwa" 28.57 77 0.58 45 8.68 "B" "Akademia Morska w Gdyni; Wydzial Przedsiebiorczosci i Towaroznawstwa"
"Wyzsza Szkola Informatyki i Zarzadzania w Rzeszowie; Wydzial Ekonomiczny" "Wyzsza Szkola Informatyki i Zarzadzania w Rzeszowie; Wydzial Ekonomiczny" 28.64 42 10.85 45 8.22 "B" "Wyzsza Szkola Informatyki i Zarzadzania w Rzeszowie; Wydzial Ekonomiczny"
