"Nazwa" "Osiagniecia_naukowe_i_tworcze" "Potencjal_naukowy" "Materialne_efekty_dzialalnosci_naukowej" "Pozostale_efekty_dzialalnosci_naukowej" "Ocena_ostateczna" "Kategoria" "nazwy"
"Uniwersytet Wroclawski; Wydzial Biotechnologii" "Uniwersytet Wroclawski; Wydzial Biotechnologii" 87.98 457 8.25 90 70.5 "+A" "Uniwersytet Wroclawski; Wydzial Biotechnologii"
"Uniwersytet Jagiellonski w Krakowie; Wydzial Biochemii. Biofizyki i Biotechnologii" "Uniwersytet Jagiellonski w Krakowie; Wydzial Biochemii. Biofizyki i Biotechnologii" 80.78 707 12.39 100 67.48 "+A" "Uniwersytet Jagiellonski w Krakowie; Wydzial Biochemii. Biofizyki i Biotechnologii"
"Uniwersytet Gdanski; Miedzyuczelniany Wydzial Biotechnologii Uniwersytetu Gdanskiego i Gdanskiego Uniwersytetu Medycznego" "Uniwersytet Gdanski; Miedzyuczelniany Wydzial Biotechnologii Uniwersytetu Gdanskiego i Gdanskiego Uniwersytetu Medycznego" 78.59 470 6.7 95 53.75 "A" "Uniwersytet Gdanski; Miedzyuczelniany Wydzial Biotechnologii Uniwersytetu Gdanskiego i Gdanskiego Uniwersytetu Medycznego"
"Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydzial Biologii" "Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydzial Biologii" 78.52 969 6.12 55 47.79 "A" "Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydzial Biologii"
"Uniwersytet Lódzki; Wydzial Biologii i Ochrony Srodowiska" "Uniwersytet Lódzki; Wydzial Biologii i Ochrony Srodowiska" 74.17 1085 6.29 65 43.5 "A" "Uniwersytet Lódzki; Wydzial Biologii i Ochrony Srodowiska"
"Uniwersytet Jagiellonski w Krakowie; Wydzial Biologii i Nauk o Ziemi" "Uniwersytet Jagiellonski w Krakowie; Wydzial Biologii i Nauk o Ziemi" 77.29 1061 2.95 75 42.53 "A" "Uniwersytet Jagiellonski w Krakowie; Wydzial Biologii i Nauk o Ziemi"
"Uniwersytet Warszawski; Wydzial Biologii" "Uniwersytet Warszawski; Wydzial Biologii" 72 657 4.97 90 41.93 "A" "Uniwersytet Warszawski; Wydzial Biologii"
"Uniwersytet Rzeszowski; Instytut Biotechnologii Stosowanej i Nauk Podstawowych" "Uniwersytet Rzeszowski; Instytut Biotechnologii Stosowanej i Nauk Podstawowych" 70.21 125 35.25 40 30.06 "A" "Uniwersytet Rzeszowski; Instytut Biotechnologii Stosowanej i Nauk Podstawowych"
"Uniwersytet Gdanski; Wydzial Biologii" "Uniwersytet Gdanski; Wydzial Biologii" 72.16 705 2.14 65 27.43 "A" "Uniwersytet Gdanski; Wydzial Biologii"
"Uniwersytet Wroclawski; Wydzial Nauk Biologicznych" "Uniwersytet Wroclawski; Wydzial Nauk Biologicznych" 72.95 540 1.77 65 25.24 "A" "Uniwersytet Wroclawski; Wydzial Nauk Biologicznych"
"Uniwersytet w Bialymstoku; Wydzial Biologiczno-Chemiczny" "Uniwersytet w Bialymstoku; Wydzial Biologiczno-Chemiczny" 66.82 477 6.47 60 23.51 "A" "Uniwersytet w Bialymstoku; Wydzial Biologiczno-Chemiczny"
"Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Biologii i Biotechnologii" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Biologii i Biotechnologii" 61.02 516 10.59 65 15.52 "A" "Uniwersytet Warminsko-Mazurski w Olsztynie; Wydzial Biologii i Biotechnologii"
"Uniwersytet Slaski w Katowicach; Wydzial Biologii i Ochrony Srodowiska" "Uniwersytet Slaski w Katowicach; Wydzial Biologii i Ochrony Srodowiska" 62.56 529 5.23 75 14.28 "A" "Uniwersytet Slaski w Katowicach; Wydzial Biologii i Ochrony Srodowiska"
"Uniwersytet Marii Curie-Sklodowskiej w Lublinie; Wydzial Biologii i Biotechnologii" "Uniwersytet Marii Curie-Sklodowskiej w Lublinie; Wydzial Biologii i Biotechnologii" 60.25 472 5.82 65 4.65 "B" "Uniwersytet Marii Curie-Sklodowskiej w Lublinie; Wydzial Biologii i Biotechnologii"
"Uniwersytet Mikolaja Kopernika w Toruniu; Wydzial Biologii i Ochrony Srodowiska" "Uniwersytet Mikolaja Kopernika w Toruniu; Wydzial Biologii i Ochrony Srodowiska" 63.08 421 1.6 60 -0.18 "B" "Uniwersytet Mikolaja Kopernika w Toruniu; Wydzial Biologii i Ochrony Srodowiska"
"Uniwersytet Szczecinski; Wydzial Biologii" "Uniwersytet Szczecinski; Wydzial Biologii" 51.47 441 2.52 50 -36.01 "B" "Uniwersytet Szczecinski; Wydzial Biologii"
"Katolicki Uniwersytet Lubelski Jana Pawla II w Lublinie; Wydzial Biotechnologii i Nauk o Srodowisku" "Katolicki Uniwersytet Lubelski Jana Pawla II w Lublinie; Wydzial Biotechnologii i Nauk o Srodowisku" 40.36 268 16.3 55 -38.16 "B" "Katolicki Uniwersytet Lubelski Jana Pawla II w Lublinie; Wydzial Biotechnologii i Nauk o Srodowisku"
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy; Wydzial Nauk Przyrodniczych" "Uniwersytet Kazimierza Wielkiego w Bydgoszczy; Wydzial Nauk Przyrodniczych" 42.56 279 4.01 60 -50.04 "B" "Uniwersytet Kazimierza Wielkiego w Bydgoszczy; Wydzial Nauk Przyrodniczych"
"Uniwersytet Kardynala Stefana Wyszynskiego w Warszawie; Wydzial Biologii i Nauk o Srodowisku" "Uniwersytet Kardynala Stefana Wyszynskiego w Warszawie; Wydzial Biologii i Nauk o Srodowisku" 48.17 47 1.2 20 -60 "B" "Uniwersytet Kardynala Stefana Wyszynskiego w Warszawie; Wydzial Biologii i Nauk o Srodowisku"
"Uniwersytet Zielonogórski; Wydzial Nauk Biologicznych" "Uniwersytet Zielonogórski; Wydzial Nauk Biologicznych" 45.18 264 0.76 40 -62.75 "B" "Uniwersytet Zielonogórski; Wydzial Nauk Biologicznych"
"Uniwersytet Opolski; Wydzial Przyrodniczo-Techniczny" "Uniwersytet Opolski; Wydzial Przyrodniczo-Techniczny" 41.76 359 0.32 40 -67.15 "C" "Uniwersytet Opolski; Wydzial Przyrodniczo-Techniczny"
"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie; Wydzial Geograficzno-Biologiczny" "Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie; Wydzial Geograficzno-Biologiczny" 36.23 505 0.37 42 -68.87 "C" "Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie; Wydzial Geograficzno-Biologiczny"
"Akademia Pomorska w Slupsku; Wydzial Matematyczno-Przyrodniczy" "Akademia Pomorska w Slupsku; Wydzial Matematyczno-Przyrodniczy" 39.48 382 0.57 30 -69.62 "C" "Akademia Pomorska w Slupsku; Wydzial Matematyczno-Przyrodniczy"
"Uniwersytet Medyczny w Bialymstoku; Wydzial Farmaceutyczny z Oddzialem Medycyny Laboratoryjnej" "Uniwersytet Medyczny w Bialymstoku; Wydzial Farmaceutyczny z Oddzialem Medycyny Laboratoryjnej" 62.44 786 15.43 100 84.79 "+A" "Uniwersytet Medyczny w Bialymstoku; Wydzial Farmaceutyczny z Oddzialem Medycyny Laboratoryjnej"
"Gdanski Uniwersytet Medyczny; Wydzial Farmaceutyczny z Oddzialem Medycyny Laboratoryjnej" "Gdanski Uniwersytet Medyczny; Wydzial Farmaceutyczny z Oddzialem Medycyny Laboratoryjnej" 77.12 519 1.15 100 79.29 "+A" "Gdanski Uniwersytet Medyczny; Wydzial Farmaceutyczny z Oddzialem Medycyny Laboratoryjnej"
