loggingTime,loggingSample,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,IP_en0,IP_pdp_ip0,deviceOrientation,state
50:28.5,1,0,-1,12,10,-9999,1421743828,3.650650024,-30.45237732,-32.76226044,196.582016,191.2844543,10,4344.720842,0.04725647,-0.52571106,-0.851913452,4344.720119,0.037978275,0.23433474,0.133975379,4344.683557,-0.417601986,0.047089779,0.525063481,-0.177951172,-0.015864857,-0.07557866,0.046548914,-0.006468271,-0.012330278,XArbitraryZVertical,0.258532021,-0.031539331,-0.194151871,0.945765043,0.040731359,-0.50126791,-0.864332914,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:28.5,2,0,-1,12,10,-9999,1421743829,3.717681885,-30.45237732,-32.9263382,196.2033691,190.9058075,10,4344.778773,0.044250488,-0.469619751,-0.851791382,4344.756682,0.033717217,0.091640971,0.054097058,4344.756682,-0.410394377,0.054426466,0.526849227,0.044347841,0.109098583,0.050540652,-0.025050119,0.052647531,-0.004575392,XArbitraryZVertical,0.260184459,-0.027317091,-0.189721945,0.94634212,0.047022775,-0.502812326,-0.863115668,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:28.6,3,0,-1,12,10,-9999,1421743829,3.416046143,-29.71499634,-32.53256226,194.4285278,189.1309662,10,4344.836828,0.051727295,-0.499755859,-0.875823975,4344.829808,0.059847621,-0.036957219,0.022852852,4344.829808,-0.412817836,0.053632815,0.525904862,0.070461564,-0.019502474,0.019296849,-0.002448387,0.003933664,-0.017782224,XArbitraryZVertical,0.259629995,-0.027911153,-0.191008868,0.946218181,0.046363182,-0.501995802,-0.86362648,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:28.6,4,0,-1,12,10,-9999,1421743829,3.416046143,-29.71499634,-32.53256226,194.4285278,189.1309662,10,4344.894999,0.021972656,-0.486602783,-0.869552612,4344.86637,0.07262893,0.008995359,0.026683276,4344.86637,-0.411717943,0.053053531,0.528562757,0.083240822,0.026451111,0.023126656,-0.004288067,0.007207185,0.009275153,XArbitraryZVertical,0.260843748,-0.028313622,-0.190459594,0.945983098,0.045791972,-0.504292727,-0.862317741,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:28.7,5,0,-1,12,10,-9999,1421743829,3.53338623,-29.86582947,-32.41770935,195.2646332,189.9670715,10,4344.952904,0.063674927,-0.512619019,-0.817779541,4344.939497,0.049424541,-0.063294284,-0.036397689,4344.939497,-0.414882068,0.052609094,0.533110023,0.060028128,-0.045836281,-0.039955854,0.014191091,0.006749398,0.02112617,XArbitraryZVertical,0.262898971,-0.02940347,-0.19183465,0.945102658,0.045287669,-0.508214235,-0.860039115,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:28.8,6,0,-1,12,10,-9999,1421743829,3.78477478,-29.8490448,-32.59819031,196.763443,191.4658813,10,4345.010934,0.035491943,-0.48866272,-0.88621521,4345.012623,-0.000973918,-0.071416127,-0.025925341,4344.976059,-0.413531065,0.054023015,0.535498848,0.057140894,0.125831097,0.082901627,-0.000966772,0.012421609,0.026468875,XArbitraryZVertical,0.264179221,-0.028802383,-0.190915107,0.944950361,0.046437964,-0.510270119,-0.858759522,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:28.8,7,0,-1,12,10,-9999,1421743829,3.365783691,-30.40208435,-32.22081757,196.5379181,191.2403564,10,4345.069036,0.069900513,-0.514144897,-0.848342896,4345.049185,0.069428343,-0.05826304,-0.117143934,4345.049185,-0.416910281,0.054047632,0.536909392,0.080024667,-0.04080788,-0.120701253,-0.023287851,0.011864169,0.00911609,XArbitraryZVertical,0.264796614,-0.029382703,-0.19245155,0.944447887,0.046420176,-0.511482716,-0.858038843,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:28.9,8,0,-1,12,10,-9999,1421743829,3.952362061,-30.88809204,-32.00752258,196.5714111,191.2738495,10,4345.127063,0.049621582,-0.501861572,-0.849456787,4345.122311,0.091578387,-0.065050905,0.011021226,4345.085748,-0.419360092,0.055321509,0.538720571,0.048120413,0.008633237,0.003446434,0.023857707,-5.38E-05,-0.004992675,XArbitraryZVertical,0.265735898,-0.029293781,-0.193365913,0.943999963,0.047461871,-0.513038218,-0.857052624,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:28.9,9,0,-1,12,10,-9999,1421743829,4.036148071,-30.87132263,-31.69578552,197.5487671,192.2512054,10,4345.184975,0.033294678,-0.500595093,-0.847473145,4345.195437,-0.114893563,0.00700944,-0.003277286,4345.158874,-0.418697485,0.055152918,0.54432762,0.058505908,0.060546435,0.036513738,0.018241107,-0.012384658,0.05502633,XArbitraryZVertical,0.268366416,-0.029866741,-0.192846917,0.943343793,0.047158062,-0.517843008,-0.854174912,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:29.0,10,0,-1,12,10,-9999,1421743829,3.550140381,-30.51939392,-31.71218872,197.3181305,192.0205688,10,4345.242995,0.051986694,-0.503860474,-0.848236084,4345.232,-0.012860671,0.000240483,-0.031988559,4345.195437,-0.417858982,0.056930507,0.542987475,-0.104295731,0.024471465,-0.006837878,-0.020715926,0.022906404,-0.008011163,XArbitraryZVertical,0.267919744,-0.02877687,-0.192268064,0.94362275,0.048715804,-0.516696095,-0.854781806,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
