loggingTime,loggingSample,locationTimestamp_since1970,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,IP_en0,IP_pdp_ip0,deviceOrientation,state
32:02.2,1,1422269489,-9999,1422271922,-198.1731567,-85.65442657,-33.74972916,116.297699,111.0004272,-1,79425.89536,0.095565796,-0.21862793,-0.904067993,79425.87824,-0.376025829,-0.115803299,0.009301623,79425.87824,-0.037204687,0.186513354,0.310181441,-0.357456148,-0.103298567,0.004571232,-0.1445259,0.155756325,0.088701449,XArbitraryZVertical,0.1554833,0.089127107,-0.003916178,0.983801792,0.176584616,-0.305231422,-0.935762584,0,0,0,-1,0.0.0.0,10.160.199.113,5,0
32:02.2,2,1422269489,-9999,1422271922,-198.1731567,-85.65442657,-33.74972916,116.297699,111.0004272,-1,79425.95341,0.092224121,-0.239395142,-0.920913696,79425.9148,-0.609928338,-0.324678219,-0.035134818,79425.9148,-0.03524802,0.182500984,0.291077409,-0.591358781,-0.312173575,-0.039865173,-0.003536668,0.020627057,-0.088246763,XArbitraryZVertical,0.14598857,0.087601374,-0.004151005,0.985391347,0.173855275,-0.286984473,-0.942026675,0,0,0,-1,0.0.0.0,10.160.199.113,5,0
32:02.2,3,1422269489,-9999,1422271922,-198.1731567,-85.65442657,-33.74972916,116.297699,111.0004272,-1,79426.01147,0.099212646,-0.288711548,-0.855438232,79425.98791,0.275518662,-0.109807724,0.205182714,79425.98791,-0.026500424,0.15581894,0.292125291,0.294075906,-0.097324945,0.200456381,-0.013711468,0.012246548,0.043047406,XArbitraryZVertical,0.146109873,0.075072581,-0.001742192,0.986414202,0.148614421,-0.287988126,-0.946032047,0,0,0,-1,0.0.0.0,10.160.199.113,5,0
32:02.2,4,1422269489,-9999,1422271922,-198.1731567,-85.65442657,-33.74972916,116.297699,111.0004272,-1,79426.06952,0.04359436,-0.259674072,-0.938735962,79426.06103,-0.09679765,-0.288522345,0.175514566,79426.02447,-0.019297419,0.14513214,0.296134726,-0.122765414,-0.282999694,0.174178138,-0.044989955,0.015427666,0.080113553,XArbitraryZVertical,0.147823703,0.070286068,0.001177687,0.986512359,0.138327971,-0.291825384,-0.94641602,0,0,0,-1,0.0.0.0,10.160.199.113,5,0
32:02.2,5,1422269489,-9999,1422271922,-198.1731567,-85.65442657,-33.74972916,116.297699,111.0004272,-1,79426.12756,0.083572388,-0.261535645,-0.983734131,79426.09759,-0.037579067,-0.031779768,0.131905836,79426.09759,-0.006642215,0.122537883,0.29175682,-0.019036414,-0.019400846,0.127205893,-0.064819857,0.030875601,0.017971866,XArbitraryZVertical,0.145289209,0.060098072,0.005620868,0.987546289,0.117065951,-0.287635237,-0.950558543,0,0,0,-1,0.0.0.0,10.160.199.113,5,0
32:02.2,6,1422269489,-9999,1422271922,-198.1731567,-85.65442657,-33.74972916,116.297699,111.0004272,-1,79426.1856,0.080657959,-0.261993408,-1.056365967,79426.1707,-0.444853896,-0.228961014,-0.049968093,79426.13415,-0.003901168,0.116066133,0.286061234,-0.328889251,-0.295233011,0.002431355,-0.027527299,0.020640073,-0.030826095,XArbitraryZVertical,0.142415179,0.057130544,0.00634016,0.988136539,0.11109969,-0.28217572,-0.952908039,0,0,0,-1,0.0.0.0,10.160.199.113,5,0
32:02.2,7,1422269489,-9999,1422271922,-198.1731567,-85.65442657,-33.74972916,116.297699,111.0004272,-1,79426.24364,0.104705811,-0.294830322,-0.958908081,79426.24382,0.265436733,0.197139168,0.177635242,79426.20726,-0.001940513,0.103545406,0.264947697,0.183375895,0.145203948,0.079768047,-0.016684989,-0.025693089,-0.103539512,XArbitraryZVertical,0.131959442,0.051168146,0.005874962,0.989916164,0.099753834,-0.261858791,-0.959937036,0,0,0,-1,0.0.0.0,10.160.199.113,5,0
32:02.2,8,1422269489,-9999,1422271922,-198.0055695,-85.55387115,-33.48721313,116.1737061,110.8764343,-1,79426.30169,0.148422241,-0.253601074,-1.05065918,79426.28038,-0.078883098,0.064158746,0.174131054,79426.24382,0.001890796,0.109128917,0.276134311,0.283935189,0.209455222,0.172946244,-8.07E-05,-0.022191871,-0.002514819,XArbitraryZVertical,0.137372962,0.054148298,0.008440926,0.989002215,0.104786463,-0.27263844,-0.956393242,0,0,0,-1,0.0.0.0,10.160.199.113,5,0
32:02.3,9,1422269489,-9999,1422271922,-197.8547363,-86.50911713,-33.37236786,116.2616043,110.9643326,-1,79426.35974,0.101959229,-0.223175049,-0.87159729,79426.3535,0.594914767,0.107837251,0.30464459,79426.31694,0.014110141,0.111862658,0.27664206,-0.00625812,-0.036921691,0.222033858,0.057592895,0.033182472,-0.146359906,XArbitraryZVertical,0.137270716,0.056338092,0.014684322,0.988821086,0.107385136,-0.27312693,-0.955965519,0,0,0,-1,0.0.0.0,10.160.199.113,5,0
32:02.4,10,1422269489,-9999,1422271922,-198.1396332,-88.67102051,-32.9949913,116.1884384,110.8911667,-1,79426.41778,0.160369873,-0.186935425,-1.080490112,79426.39005,0.119141838,0.079331308,0.219287081,79426.39005,0.030654937,0.11451444,0.306714987,0.137835309,0.091636606,0.214614168,0.016785493,0.091448829,0.108631402,XArbitraryZVertical,0.151622031,0.058885131,0.023862807,0.986394377,0.108931668,-0.30192858,-0.947086573,0,0,0,-1,0.0.0.0,10.160.199.113,5,0
