Rank,Country,Score,Value,Percentage Rank,S/W
1,Switzerland,72.4,-,1.00,•
2,Sweden,60.5,-,0.99,•
3,China,58.0,-,0.99,•
4,United States of America,58.0,-,0.98,•
5,"Korea, Republic of",56.7,-,0.97,•
6,Netherlands,55.9,-,0.96,•
7,Ireland,55.7,-,0.96,
8,United Kingdom,54.9,-,0.95,
9,Israel,53.6,-,0.94,
10,Germany,53.4,-,0.94,
11,Finland,51.9,-,0.93,
12,Singapore,51.5,-,0.92,
13,Luxembourg,49.1,-,0.91,
14,Japan,48.6,-,0.91,
15,Czech Republic,46.7,-,0.90,•
16,Denmark,46.1,-,0.89,
17,Austria,43.0,-,0.89,
18,Barbados,42.4,-,0.88,•
19,Estonia,42.1,-,0.87,
20,New Zealand,42.0,-,0.86,
21,Canada,41.9,-,0.86,
22,Italy,41.2,-,0.85,•
23,France,41.1,-,0.84,
24,Iceland,40.7,-,0.84,
25,Spain,39.9,-,0.83,
26,"Moldova, Republic of",39.6,-,0.82,•
27,Norway,39.2,-,0.81,
28,Viet Nam,39.0,-,0.81,•
29,Malta,38.5,-,0.80,
30,Slovenia,38.1,-,0.79,
31,Hong Kong (China),37.9,-,0.79,
32,Belarus,37.1,-,0.78,•
33,Russian Federation,36.6,-,0.77,
34,Ukraine,36.4,-,0.76,
35,Malaysia,36.2,-,0.76,
36,Belgium,36.1,-,0.75,
37,Bulgaria,35.4,-,0.74,
38,Latvia,34.9,-,0.74,
39,Australia,34.8,-,0.73,
40,Hungary,34.8,-,0.72,
41,Slovakia,33.7,-,0.71,
42,Portugal,33.2,-,0.71,
43,Romania,32.8,-,0.70,
44,Croatia,31.0,-,0.69,
45,Angola,30.8,-,0.69,•
46,Armenia,30.6,-,0.68,
47,Costa Rica,30.3,-,0.67,
48,Thailand,30.3,-,0.66,
49,India,30.1,-,0.66,
50,Mexico,29.4,-,0.65,
51,Gambia,29.3,-,0.64,•
52,Mozambique,29.0,-,0.64,•
53,Philippines,28.9,-,0.63,
54,Montenegro,28.4,-,0.62,
55,Lithuania,28.4,-,0.61,
56,Poland,28.4,-,0.61,
57,Chile,28.3,-,0.60,
58,South Africa,28.3,-,0.59,
59,Serbia,27.7,-,0.59,
60,Turkey,27.3,-,0.58,
61,Uzbekistan,27.2,-,0.57,•
62,Mauritius,27.2,-,0.56,
63,Kuwait,27.0,-,0.56,
64,Sri Lanka,26.8,-,0.55,
65,Côte d'Ivoire,26.8,-,0.54,•
66,Malawi,26.7,-,0.54,
67,Georgia,26.6,-,0.53,
68,Cambodia,26.6,-,0.52,•
69,TFYR Macedonia,26.3,-,0.51,
70,Tajikistan,26.1,-,0.51,
71,Greece,26.0,-,0.50,
72,Brazil,25.4,-,0.49,
73,Morocco,25.2,-,0.49,
74,Saudi Arabia,25.1,-,0.48,
75,Bahrain,25.0,-,0.47,
76,Ghana,25.0,-,0.46,
77,Mali,24.8,-,0.46,
78,Cyprus,24.7,-,0.45,
79,Panama,24.7,-,0.44,
80,Qatar,24.5,-,0.44,
81,Trinidad and Tobago,24.4,-,0.43,
82,Kenya,24.2,-,0.42,
83,Jordan,24.0,-,0.41,
84,Oman,23.9,-,0.41,
85,Mongolia,23.8,-,0.40,
86,Colombia,23.8,-,0.39,
87,Tunisia,23.3,-,0.39,
88,Kyrgyzstan,23.2,-,0.38,
89,Bosnia and Herzegovina,23.0,-,0.37,
90,"Iran, Islamic Republic of",22.5,-,0.36,
91,Senegal,22.4,-,0.36,
92,Uganda,22.4,-,0.35,
93,Lebanon,22.4,-,0.34,
94,Uruguay,22.3,-,0.34,
95,Argentina,22.2,-,0.33,
96,Kazakhstan,21.9,-,0.32,
97,Egypt,21.7,-,0.31,
98,Zambia,21.6,-,0.31,
99,Burkina Faso,21.4,-,0.30,
100,Indonesia,20.9,-,0.29,
101,Pakistan,20.2,-,0.29,
102,"Bolivia, Plurinational State of",20.0,-,0.28,
103,Myanmar,20.0,-,0.27,•
104,Botswana,20.0,-,0.26,
105,Nigeria,19.8,-,0.26,
106,"Venezuela, Bolivarian Republic of",19.3,-,0.25,
107,Peru,19.2,-,0.24,
108,Azerbaijan,19.0,-,0.24,
109,Guatemala,18.9,-,0.23,
110,Albania,18.5,-,0.22,
111,Niger,18.4,-,0.21,
112,Yemen,18.3,-,0.21,
113,Seychelles,18.3,-,0.20,º
114,Cameroon,18.2,-,0.19,
115,Algeria,17.8,-,0.19,
116,Bangladesh,17.6,-,0.18,
117,"Tanzania, United Republic of",17.4,-,0.17,
118,Ethiopia,17.3,-,0.16,
119,Dominican Republic,17.1,-,0.16,
120,Jamaica,16.4,-,0.15,º
121,Paraguay,16.2,-,0.14,
122,Sudan,14.7,-,0.14,
123,Honduras,14.7,-,0.13,º
124,Madagascar,14.2,-,0.12,
125,Rwanda,14.1,-,0.11,
126,Togo,13.9,-,0.11,
127,Ecuador,13.4,-,0.10,º
128,Fiji,13.4,-,0.09,º
129,Cabo Verde,12.8,-,0.09,
130,Zimbabwe,12.3,-,0.08,
131,Nicaragua,12.3,-,0.07,
132,Lesotho,12.2,-,0.06,º
133,El Salvador,12.2,-,0.06,º
134,United Arab Emirates,11.9,-,0.05,º
135,Guinea,10.2,-,0.04,
136,Swaziland,9.7,-,0.04,º
137,Guyana,9.7,-,0.03,º
138,Namibia,8.5,-,0.02,º
139,Burundi,7.2,-,0.01,º
140,Nepal,3.2,-,0.01,º
141,Bhutan,2.6,-,0.00,º
