Rank,Country,Score,Value,Percentage Rank,S/W
1,Switzerland,68.3,-,1.00,•
2,United Kingdom,62.4,-,0.99,•
3,Sweden,62.4,-,0.99,•
4,Netherlands,61.6,-,0.98,•
5,United States of America,60.1,-,0.97,
6,Finland,60.0,-,0.96,
7,Singapore,59.4,-,0.96,
8,Ireland,59.1,-,0.95,
9,Luxembourg,59.0,-,0.94,
10,Denmark,57.7,-,0.94,
11,Hong Kong (China),57.2,-,0.93,
12,Germany,57.1,-,0.92,
13,Iceland,57.0,-,0.91,
14,"Korea, Republic of",56.3,-,0.91,
15,New Zealand,55.9,-,0.90,
16,Canada,55.7,-,0.89,
17,Australia,55.2,-,0.89,
18,Austria,54.1,-,0.88,
19,Japan,54.0,-,0.87,
20,Norway,53.8,-,0.86,
21,France,53.6,-,0.86,
22,Israel,53.5,-,0.85,
23,Estonia,52.8,-,0.84,
24,Czech Republic,51.3,-,0.84,
25,Belgium,50.9,-,0.83,
26,Malta,50.5,-,0.82,
27,Spain,49.1,-,0.81,
28,Slovenia,48.5,-,0.81,
29,China,47.5,-,0.80,
30,Portugal,46.6,-,0.79,
31,Italy,46.4,-,0.79,
32,Malaysia,46.0,-,0.78,
33,Latvia,45.5,-,0.77,
34,Cyprus,43.5,-,0.76,
35,Hungary,43.0,-,0.76,
36,Slovakia,43.0,-,0.75,
37,Barbados,42.5,-,0.74,
38,Lithuania,42.3,-,0.74,
39,Bulgaria,42.2,-,0.73,
40,Croatia,41.7,-,0.72,
41,Montenegro,41.2,-,0.71,
42,Chile,41.2,-,0.71,
43,Saudi Arabia,40.7,-,0.70,
44,"Moldova, Republic of",40.5,-,0.69,
45,Greece,40.3,-,0.69,
46,Poland,40.2,-,0.68,
47,United Arab Emirates,40.1,-,0.67,
48,Russian Federation,39.3,-,0.66,
49,Mauritius,39.2,-,0.66,
50,Qatar,39.0,-,0.65,
51,Costa Rica,38.6,-,0.64,
52,Viet Nam,38.3,-,0.64,
53,Belarus,38.2,-,0.63,
54,Romania,38.2,-,0.62,
55,Thailand,38.1,-,0.61,
56,TFYR Macedonia,38.0,-,0.61,
57,Mexico,38.0,-,0.60,
58,Turkey,37.8,-,0.59,
59,Bahrain,37.7,-,0.59,
60,South Africa,37.4,-,0.58,
61,Armenia,37.3,-,0.57,
62,Panama,36.8,-,0.56,
63,Serbia,36.5,-,0.56,
64,Ukraine,36.5,-,0.55,
65,Seychelles,36.4,-,0.54,
66,Mongolia,36.4,-,0.54,
67,Colombia,36.4,-,0.53,
68,Uruguay,35.8,-,0.52,
69,Oman,35.0,-,0.51,
70,Brazil,34.9,-,0.51,
71,Peru,34.9,-,0.50,
72,Argentina,34.3,-,0.49,
73,Georgia,33.8,-,0.49,
74,Lebanon,33.8,-,0.48,
75,Jordan,33.8,-,0.47,
76,Tunisia,33.5,-,0.46,
77,Kuwait,33.2,-,0.46,
78,Morocco,33.2,-,0.45,
79,Bosnia and Herzegovina,32.3,-,0.44,
80,Trinidad and Tobago,32.2,-,0.44,
81,India,31.7,-,0.43,
82,Kazakhstan,31.2,-,0.42,
83,Philippines,31.1,-,0.41,
84,Senegal,31.0,-,0.41,
85,Sri Lanka,30.8,-,0.40,
86,Guyana,30.7,-,0.39,
87,Albania,30.7,-,0.39,
88,Paraguay,30.7,-,0.38,
89,Dominican Republic,30.6,-,0.37,
90,Botswana,30.5,-,0.36,
91,Cambodia,30.4,-,0.36,
92,Kenya,30.2,-,0.35,
93,Azerbaijan,30.1,-,0.34,
94,Rwanda,30.1,-,0.34,
95,Mozambique,30.1,-,0.33,
96,Jamaica,29.9,-,0.32,
97,Indonesia,29.8,-,0.31,
98,Malawi,29.7,-,0.31,
99,El Salvador,29.3,-,0.30,
100,Egypt,28.9,-,0.29,
101,Guatemala,28.8,-,0.29,
102,Burkina Faso,28.7,-,0.28,
103,Cabo Verde,28.6,-,0.27,
104,"Bolivia, Plurinational State of",28.6,-,0.26,
105,Mali,28.4,-,0.26,
106,"Iran, Islamic Republic of",28.4,-,0.25,
107,Namibia,28.1,-,0.24,
108,Ghana,28.0,-,0.24,
109,Kyrgyzstan,28.0,-,0.23,
110,Cameroon,27.8,-,0.22,
111,Uganda,27.6,-,0.21,
112,Gambia,27.5,-,0.21,
113,Honduras,27.5,-,0.20,
114,Tajikistan,27.5,-,0.19,
115,Fiji,27.3,-,0.19,
116,Côte d'Ivoire,27.2,-,0.18,
117,"Tanzania, United Republic of",27.0,-,0.17,
118,Lesotho,27.0,-,0.16,
119,Ecuador,26.9,-,0.16,
120,Angola,26.2,-,0.15,
121,Bhutan,26.1,-,0.14,
122,Uzbekistan,25.9,-,0.14,
123,Swaziland,25.4,-,0.13,
124,Zambia,24.6,-,0.12,
125,Madagascar,24.4,-,0.11,
126,Algeria,24.4,-,0.11,
127,Ethiopia,24.2,-,0.10,
128,Nigeria,23.7,-,0.09,
129,Bangladesh,23.7,-,0.09,
130,Nicaragua,23.5,-,0.08,
131,Pakistan,23.1,-,0.07,º
132,"Venezuela, Bolivarian Republic of",22.8,-,0.06,
133,Zimbabwe,22.5,-,0.06,
134,Niger,21.2,-,0.05,
135,Nepal,21.1,-,0.04,º
136,Burundi,21.0,-,0.04,
137,Yemen,20.8,-,0.03,º
138,Myanmar,20.3,-,0.02,
139,Guinea,18.5,-,0.01,º
140,Togo,18.4,-,0.01,º
141,Sudan,15.0,-,0.00,º
