"data.wydania";"data.ogloszenia";"data.wykonania";"organ.wlasciwy";"ocena.konstytucyjnosci";"status.orzeczenia";"tytul.orzeczenia";"akty.prawne";"dane.orzeczenia";"dokumenty.w.sprawie"
2015-11-04;2015-11-18;NA;"";"niezgodny";"Brak konieczności podjęcia prac legislacyjnych";"Zmiana przepisów regulujących funkcjonowanie otwartych funduszy emerytalnych.";"Dz.U. 2013 r. poz. 1717Ustawa z dnia 6 grudnia 2013 r. o zmianie niektórych ustaw w związku z określeniem zasad wypłaty emerytur ze środków zgromadzonych w otwartych funduszach emerytalnych
Dz.U. 2013 r. poz. 1442Ustawa z dnia 13 października 1998 r. o systemie ubezpieczeń społecznych
Dz.U. 2013 r. poz. 989USTAWA z dnia 28 sierpnia 1997 r. o organizacji i funkcjonowaniu funduszy emerytalnych";"K 1/14
Data wydania:2015-11-04
Dz.U. 2015 r. poz. 1917
Data ogłoszenia:2015-11-18";"[Pokaż szczegóły]"
2015-10-28;2015-11-04;NA;"Minister Finansów";"niezgodny";"Niewykonane";"Podatek dochodowy od osób fizycznych - kwota zmniejszająca podatek";"Dz.U. 2012 r. poz. 361Ustawa z dnia 26 lipca 1991 r. o podatku dochodowym od osób fizycznych";"K 21/14
Data wydania:2015-10-28
Dz.U. 2015 r. poz. 1784
Data ogłoszenia:2015-11-04";"[Pokaż szczegóły]

ANALIZA
K 21/14"
2015-10-28;2015-12-02;NA;"Minister Sprawiedliwości";"niezgodny";"Niewykonane";"Przeciwdziałanie narkomanii; przepadek przedmiotu przestępstwa oraz przedmiotów i narzędzi, które służyły lub były przeznaczone do jego popełnienia, nawet jeżeli nie były one własnością sprawcy, niezależnie od winy osoby będącej właścicielem przedmiotu objętego przepadkiem ";"Dz.U. 2015 r. poz. 875Ustawa z dnia 24 kwietnia 2015 r. o zmianie ustawy o przeciwdziałaniu narkomanii oraz niektórych innych ustaw
Dz.U. 2012 r. poz. 124Ustawa z dnia 29 lipca 2005 r. o przeciwdziałaniu narkomanii";"SK 59/13
Data wydania:2015-10-28
Dz.U. 2015 r. poz. 2014
Data ogłoszenia:2015-12-02";"[Pokaż szczegóły]"
2015-10-28;2015-11-05;NA;"Minister Pracy i Polityki Społecznej";"niezgodny";"Niewykonane";"Zasady ustalania podstawy wymiaru składek na ubezpieczenia emerytalne i rentowe; pracownicy zatrudnieni za granicą u polskich pracodawców.";"Dz.U. 1998 r. Nr 161 poz. 1106Rozporządzenie Ministra Pracy i Polityki Socjalnej z dnia 18 grudnia 1998 r. w sprawie szczegółowych zasad ustalania podstawy wymiaru składek na ubezpieczenia emerytalne i rentowe,";"SK 9/14
Data wydania:2015-10-28
Dz.U. 2015 r. poz. 1808
Data ogłoszenia:2015-11-05";"[Pokaż szczegóły]"
2015-10-28;2015-11-04;NA;"Minister Sprawiedliwości";"niezgodny";"Niewykonane";"wydawanie przez rodzinne ośrodki diagnostyczno-konsultacyjne opinii w sprawach innych niż sprawy nieletnich";"Dz.U. 2001 r. Nr 97 poz. 1063Rozporządzenie Ministra Sprawiedliwości z dnia 3 sierpnia 2001 r. w sprawie organizacji i zakresu działania rodzinnych ośrodków diagnostyczno-konsultacyjnych";"U 6/13
Data wydania:2015-10-28
Dz.U. 2015 r. poz. 1796
Data ogłoszenia:2015-11-04";"[Pokaż szczegóły]"
2015-10-27;2015-11-04;NA;"Minister Sprawiedliwości";"niezgodny";"Niewykonane";"Postępowanie karne; zasady udziału podejrzanego (oskarżonego) lub jego obrońcy w posiedzeniu sądu";"Dz.U. 1997 r. Nr 89 poz. 555Ustawa z dnia 6 czerwca 1997 r. - Kodeks postępowania karnego";"K 5/14
Data wydania:2015-10-27
Dz.U. 2015 r. poz. 1788
Data ogłoszenia:2015-11-04";"[Pokaż szczegóły]"
2015-10-21;2015-10-29;NA;"";"zgodny";"Brak konieczności podjęcia prac legislacyjnych";"Kumulacja podstaw odpowiedzialności za prowadzenie gier na automatach poza kasynem gry.";"Dz.U. 2015 r. poz. 612Ustawa z dnia 19 listopada 2009 r. o grach hazardowych";"P 32/12
Data wydania:2015-10-21
Dz.U. 2015 r. poz. 1742
Data ogłoszenia:2015-10-29";"[Pokaż szczegóły]"
2015-10-14;2015-11-23;NA;"Minister Sprawiedliwości";"niezgodny";"Brak konieczności podjęcia prac legislacyjnych";"Prawo o ustroju sądów powszechnych";"";"Kp 1/15
Data wydania:2015-10-14
M.P 2015 r. poz. 1045
Data ogłoszenia:2015-11-23";"[Pokaż szczegóły]"
2015-10-13;2015-10-22;NA;"Minister Sprawiedliwości";"niezgodny";"Niewykonane";"Zasady pobierania opłaty egzekucyjnej przez komornika";"Dz.U. 2015 r. poz. 790Ustawa z dnia 29 sierpnia 1997 r. o komornikach sądowych i egzekucji";"P 3/14
Data wydania:2015-10-13
Dz.U. 2015 r. poz. 1670
Data ogłoszenia:2015-10-22";"[Pokaż szczegóły]"
2015-10-07;2015-10-16;NA;"Minister Zdrowia";"niezgodny";"Niewykonane";"Prawo do odmowy wykonania świadczenia zdrowotnego niezgodnego z sumieniem";"Dz.U. 2015 r. poz. 464Ustawa z dnia 5 grudnia 1996 r. o zawodach lekarza i lekarza dentysty";"K 12/14
Data wydania:2015-10-07
Dz.U. 2015 r. poz. 1633
Data ogłoszenia:2015-10-16";"[Pokaż szczegóły]"
2015-10-06;2015-10-15;NA;"Minister Pracy i Polityki Społecznej";"niezgodny";"Niewykonane";"Zasady wypłaty świadczeń z pomocy społecznej";"Dz.U. 2009 r. Nr 175 poz. 1362Ustawa z dnia 12 marca 2004 r. o pomocy społecznej";"SK 19/14
Data wydania:2015-10-06
Dz.U. 2015 r. poz. 1616
Data ogłoszenia:2015-10-15";"[Pokaż szczegóły]

ANALIZA
RCL.DPTK.590.7/2015"
2015-09-22;2015-10-02;NA;"Minister Sprawiedliwości";"niezgodny";"Brak konieczności podjęcia prac legislacyjnych";"Warunkowe zawieszenie wykonania kary łącznej";"Dz.U. 1997 r. Nr 88 poz. 553Ustawa z dnia 6 czerwca 1997 r. - Kodeks karny";"P 37/14
Data wydania:2015-09-22
Dz.U. 2015 r. poz. 1528
Data ogłoszenia:2015-10-02";"[Pokaż szczegóły]

ANALIZA
RCL.DPTK.590.12/2015"
2015-09-22;2015-10-02;NA;"Minister Sprawiedliwości";"niezgodny";"Niewykonane";"Kodeks postępowania cywilnego - termin do złożenia skargi o wznowienie postępowania";"Dz.U. 2014 r. poz. 101ustawa z dnia 17 listopada 1964 r. – Kodeks postępowania cywilnego";"SK 21/14
Data wydania:2015-09-22
Dz.U. 2015 r. poz. 1527
Data ogłoszenia:2015-10-02";"[Pokaż szczegóły]

ANALIZA
RCL.DPTK.590.5/2015"
