data	objekt	sm	google	sondaz
2015-08-01	pis	18240	2	
2015-08-02	pis	23482	3	
2015-08-03	pis	29384	3	
2015-08-04	pis	26120	4	0,35
2015-08-05	pis	42507	3	0,36
2015-08-06	pis	93949	4	0,37
2015-08-07	pis	56338	4	0,38
2015-08-08	pis	37589	4	0,4
2015-08-09	pis	36459	4	0,41
2015-08-10	pis	44265	4	0,42
2015-08-11	pis	46018	4	0,41
2015-08-12	pis	35463	3	0,39
2015-08-13	pis	41328	3	0,4
2015-08-14	pis	33607	3	0,41
2015-08-15	pis	28964	3	0,36
2015-08-16	pis	24609	3	0,37
2015-08-17	pis	36075	4	0,38
2015-08-18	pis	31719	3	0,39
2015-08-19	pis	30790	4	0,4
2015-08-20	pis	39661	4	0,41
2015-08-21	pis	52538	4	0,4
2015-08-22	pis	33562	3	0,39
2015-08-23	pis	36776	3	0,38
2015-08-24	pis	50225	4	0,37
2015-08-25	pis	47812	4	0,39
2015-08-26	pis	34456	3	0,41
2015-08-27	pis	39497	4	0,43
2015-08-28	pis	43984	14	0,39
2015-08-29	pis	31578	7	0,39
2015-08-30	pis	32276	5	0,39
2015-08-31	pis	52660	5	0,39
2015-09-01	pis	52392	5	0,39
2015-09-02	pis	38447	7	0,38
2015-09-03	pis	43852	10	0,38
2015-09-04	pis	45371	14	0,38
2015-09-05	pis	20909	6	0,38
2015-09-06	pis	16837	5	0,36
2015-09-07	pis	28426	6	0,39
2015-09-08	pis	26705	6	0,39
2015-09-09	pis	34875	5	0,38
2015-09-10	pis	28468	6	0,37
2015-09-11	pis	31087	7	0,35
2015-09-12	pis	30336	11	0,35
2015-09-13	pis	27048	7	0,35
2015-09-14	pis	27757	8	0,36
2015-09-15	pis	57326	8	0,36
2015-09-16	pis	45504	7	0,36
2015-09-17	pis	48795	7	0,37
2015-09-18	pis	31608	6	0,38
2015-09-19	pis	28137	6	0,39
2015-09-20	pis	24461	5	0,33
2015-09-21	pis	45357	5	0,39
2015-09-22	pis	34795	5	0,37
2015-09-23	pis	36658	5	0,34
2015-09-24	pis	36475	5	0,38
2015-09-25	pis	44526	6	0,38
2015-09-26	pis	42419	6	0,38
2015-09-27	pis	34774	7	0,39
2015-09-28	pis	39941	6	0,39
2015-09-29	pis	44412	6	0,39
2015-09-30	pis	33556	6	0,37
2015-10-01	pis	35798	6	0,34
2015-10-02	pis	41502	6	0,35
2015-10-03	pis	33168	5	0,36
2015-10-04	pis	23408	7	0,37
2015-10-05	pis	29451	6	0,38
2015-10-06	pis	32316	6	0,37
2015-10-07	pis	39029	7	0,37
2015-10-08	pis	40853	7	0,37
2015-10-09	pis	36049	7	0,37
2015-10-10	pis	29154	6	0,37
2015-10-11	pis	38998	8	0,36
2015-10-12	pis	62761	9	0,36
2015-10-13	pis	62047	9	0,36
2015-10-14	pis	98233	10	0,39
2015-10-15	pis	73929	10	0,34
2015-10-16	pis	72446	12	0,35
2015-10-17	pis	83310	12	0,36
2015-10-18	pis	88506	13	0,37
2015-10-19	pis	96703	25	0,38
2015-10-20	pis	82065	27	0,33
2015-10-21	pis	70173	25	0,37
2015-10-22	pis	63149	26	0,36
2015-10-23	pis	83906	35	0,37
2015-10-24	pis	18646	29	
2015-10-25	pis	86856	100	
2015-08-01	nowacka	274	0	
2015-08-02	nowacka	194	0	
2015-08-03	nowacka	221	0	
2015-08-04	nowacka	354	0	
2015-08-05	nowacka	419	0	
2015-08-06	nowacka	463	0	
2015-08-07	nowacka	393	0	
2015-08-08	nowacka	412	5	
2015-08-09	nowacka	501	5	
2015-08-10	nowacka	656	5	
2015-08-11	nowacka	799	4	
2015-08-12	nowacka	491	4	
2015-08-13	nowacka	890	5	
2015-08-14	nowacka	405	5	
2015-08-15	nowacka	309	5	
2015-08-16	nowacka	618	6	
2015-08-17	nowacka	2221	3	
2015-08-18	nowacka	854	4	
2015-08-19	nowacka	448	4	
2015-08-20	nowacka	449	4	
2015-08-21	nowacka	520	3	
2015-08-22	nowacka	325	4	
2015-08-23	nowacka	426	4	
2015-08-24	nowacka	375	3	
2015-08-25	nowacka	503	3	
2015-08-26	nowacka	546	0	
2015-08-27	nowacka	753	0	
2015-08-28	nowacka	972	0	
2015-08-29	nowacka	659	0	
2015-08-30	nowacka	562	0	
2015-08-31	nowacka	633	0	
2015-09-01	nowacka	512	3	
2015-09-02	nowacka	793	3	
2015-09-03	nowacka	756	3	
2015-09-04	nowacka	1603	4	
2015-09-05	nowacka	2280	4	
2015-09-06	nowacka	480	0	
2015-09-07	nowacka	468	0	
2015-09-08	nowacka	553	0	
2015-09-09	nowacka	702	0	
2015-09-10	nowacka	732	0	
2015-09-11	nowacka	650	0	
2015-09-12	nowacka	567	0	
2015-09-13	nowacka	772	5	
2015-09-14	nowacka	628	4	
2015-09-15	nowacka	622	4	
2015-09-16	nowacka	826	4	
2015-09-17	nowacka	1354	3	
2015-09-18	nowacka	887	0	
2015-09-19	nowacka	616	0	
2015-09-20	nowacka	520	0	
2015-09-21	nowacka	1456	0	
2015-09-22	nowacka	474	0	
2015-09-23	nowacka	551	4	
2015-09-24	nowacka	554	0	
2015-09-25	nowacka	396	0	
2015-09-26	nowacka	396	0	
2015-09-27	nowacka	379	0	
2015-09-28	nowacka	307	0	
2015-09-29	nowacka	1958	15	
2015-09-30	nowacka	2216	17	
2015-10-01	nowacka	1316	6	
2015-10-02	nowacka	1454	11	
2015-10-03	nowacka	749	5	
2015-10-04	nowacka	5135	71	
2015-10-05	nowacka	4991	49	
2015-10-06	nowacka	3396	26	
2015-10-07	nowacka	4283	21	
2015-10-08	nowacka	2488	14	
2015-10-09	nowacka	2476	12	
2015-10-10	nowacka	2667	18	
2015-10-11	nowacka	2317	10	
